time,begin,end,area,total,gap,gapRate,total_dest
1,Tue Jan 05 2016 00:00:00 GMT+0800 (CST),Tue Jan 05 2016 00:10:00 GMT+0800 (CST),1,90,43,0.4777777777777778,39
1,Tue Jan 05 2016 00:00:00 GMT+0800 (CST),Tue Jan 05 2016 00:10:00 GMT+0800 (CST),2,4,0,0,2
1,Tue Jan 05 2016 00:00:00 GMT+0800 (CST),Tue Jan 05 2016 00:10:00 GMT+0800 (CST),3,2,0,0,0
1,Tue Jan 05 2016 00:00:00 GMT+0800 (CST),Tue Jan 05 2016 00:10:00 GMT+0800 (CST),4,20,2,0.1,3
1,Tue Jan 05 2016 00:00:00 GMT+0800 (CST),Tue Jan 05 2016 00:10:00 GMT+0800 (CST),5,0,0,NaN,1
1,Tue Jan 05 2016 00:00:00 GMT+0800 (CST),Tue Jan 05 2016 00:10:00 GMT+0800 (CST),6,1,0,0,5
1,Tue Jan 05 2016 00:00:00 GMT+0800 (CST),Tue Jan 05 2016 00:10:00 GMT+0800 (CST),7,50,1,0.02,27
1,Tue Jan 05 2016 00:00:00 GMT+0800 (CST),Tue Jan 05 2016 00:10:00 GMT+0800 (CST),8,83,6,0.07228915662650602,54
1,Tue Jan 05 2016 00:00:00 GMT+0800 (CST),Tue Jan 05 2016 00:10:00 GMT+0800 (CST),9,16,4,0.25,4
1,Tue Jan 05 2016 00:00:00 GMT+0800 (CST),Tue Jan 05 2016 00:10:00 GMT+0800 (CST),10,0,0,NaN,1
1,Tue Jan 05 2016 00:00:00 GMT+0800 (CST),Tue Jan 05 2016 00:10:00 GMT+0800 (CST),11,10,3,0.3,23
1,Tue Jan 05 2016 00:00:00 GMT+0800 (CST),Tue Jan 05 2016 00:10:00 GMT+0800 (CST),12,77,27,0.35064935064935066,22
1,Tue Jan 05 2016 00:00:00 GMT+0800 (CST),Tue Jan 05 2016 00:10:00 GMT+0800 (CST),13,2,0,0,3
1,Tue Jan 05 2016 00:00:00 GMT+0800 (CST),Tue Jan 05 2016 00:10:00 GMT+0800 (CST),14,20,8,0.4,33
1,Tue Jan 05 2016 00:00:00 GMT+0800 (CST),Tue Jan 05 2016 00:10:00 GMT+0800 (CST),15,0,0,NaN,0
1,Tue Jan 05 2016 00:00:00 GMT+0800 (CST),Tue Jan 05 2016 00:10:00 GMT+0800 (CST),16,2,0,0,3
1,Tue Jan 05 2016 00:00:00 GMT+0800 (CST),Tue Jan 05 2016 00:10:00 GMT+0800 (CST),17,5,3,0.6,0
1,Tue Jan 05 2016 00:00:00 GMT+0800 (CST),Tue Jan 05 2016 00:10:00 GMT+0800 (CST),18,0,0,NaN,4
1,Tue Jan 05 2016 00:00:00 GMT+0800 (CST),Tue Jan 05 2016 00:10:00 GMT+0800 (CST),19,46,18,0.391304347826087,16
1,Tue Jan 05 2016 00:00:00 GMT+0800 (CST),Tue Jan 05 2016 00:10:00 GMT+0800 (CST),20,55,28,0.509090909090909,24
1,Tue Jan 05 2016 00:00:00 GMT+0800 (CST),Tue Jan 05 2016 00:10:00 GMT+0800 (CST),21,53,24,0.4528301886792453,19
1,Tue Jan 05 2016 00:00:00 GMT+0800 (CST),Tue Jan 05 2016 00:10:00 GMT+0800 (CST),22,29,16,0.5517241379310345,18
1,Tue Jan 05 2016 00:00:00 GMT+0800 (CST),Tue Jan 05 2016 00:10:00 GMT+0800 (CST),23,159,49,0.3081761006289308,111
1,Tue Jan 05 2016 00:00:00 GMT+0800 (CST),Tue Jan 05 2016 00:10:00 GMT+0800 (CST),24,26,3,0.11538461538461539,17
1,Tue Jan 05 2016 00:00:00 GMT+0800 (CST),Tue Jan 05 2016 00:10:00 GMT+0800 (CST),25,12,1,0.08333333333333333,8
1,Tue Jan 05 2016 00:00:00 GMT+0800 (CST),Tue Jan 05 2016 00:10:00 GMT+0800 (CST),26,5,1,0.2,9
1,Tue Jan 05 2016 00:00:00 GMT+0800 (CST),Tue Jan 05 2016 00:10:00 GMT+0800 (CST),27,57,30,0.5263157894736842,20
1,Tue Jan 05 2016 00:00:00 GMT+0800 (CST),Tue Jan 05 2016 00:10:00 GMT+0800 (CST),28,57,18,0.3157894736842105,58
1,Tue Jan 05 2016 00:00:00 GMT+0800 (CST),Tue Jan 05 2016 00:10:00 GMT+0800 (CST),29,2,1,0.5,9
1,Tue Jan 05 2016 00:00:00 GMT+0800 (CST),Tue Jan 05 2016 00:10:00 GMT+0800 (CST),30,0,0,NaN,0
1,Tue Jan 05 2016 00:00:00 GMT+0800 (CST),Tue Jan 05 2016 00:10:00 GMT+0800 (CST),31,2,0,0,5
1,Tue Jan 05 2016 00:00:00 GMT+0800 (CST),Tue Jan 05 2016 00:10:00 GMT+0800 (CST),32,2,1,0.5,0
1,Tue Jan 05 2016 00:00:00 GMT+0800 (CST),Tue Jan 05 2016 00:10:00 GMT+0800 (CST),33,5,3,0.6,3
