area,time,timeSpan,poiCount,weather,temperature,pm25,totalOrders,gap,gapRate,ordersAsDest,lv1,lv2,lv3,lv4
1,1,00:00:00==>00:10:00,653376,2,13,187,52,3,0.057692307692307696,14,,,,
1,2,00:10:00==>00:20:00,653376,2,13,187,47,5,0.10638297872340426,10,1110,184,51,45
1,3,00:20:00==>00:30:00,653376,2,13,187,47,7,0.14893617021276595,22,1164,150,42,37
1,4,00:30:00==>00:40:00,653376,2,13,187,42,5,0.11904761904761904,8,1142,163,45,36
1,5,00:40:00==>00:50:00,653376,2,13,192,37,3,0.08108108108108109,8,1140,164,38,49
1,6,00:50:00==>01:00:00,653376,2,13,192,23,1,0.043478260869565216,7,1068,179,65,35
1,7,01:00:00==>01:10:00,653376,2,13,192,33,2,0.06060606060606061,7,1096,157,58,44
1,8,01:10:00==>01:20:00,653376,2,13,192,41,9,0.21951219512195122,8,1057,198,41,65
1,9,01:20:00==>01:30:00,653376,2,13,192,42,18,0.42857142857142855,6,1005,141,45,41
1,10,01:30:00==>01:40:00,653376,2,13,192,17,2,0.11764705882352941,7,1052,126,39,42
1,11,01:40:00==>01:50:00,653376,2,13,202,27,5,0.18518518518518517,6,962,165,48,42
1,12,01:50:00==>02:00:00,653376,2,13,202,27,5,0.18518518518518517,6,953,133,36,44
1,13,02:00:00==>02:10:00,653376,2,13,202,26,5,0.19230769230769232,8,925,140,27,32
1,14,02:10:00==>02:20:00,653376,2,13,202,15,3,0.2,1,944,125,45,45
1,15,02:20:00==>02:30:00,653376,2,13,202,14,0,0,2,912,136,40,28
1,16,02:30:00==>02:40:00,653376,2,13,202,14,0,0,0,860,132,59,35
1,17,02:40:00==>02:50:00,653376,2,13,202,14,3,0.21428571428571427,3,857,128,44,19
1,18,02:50:00==>03:00:00,653376,2,13,202,12,0,0,5,826,99,20,36
1,19,03:00:00==>03:10:00,653376,2,13,202,12,0,0,2,755,81,29,31
1,20,03:10:00==>03:20:00,653376,2,13,202,19,6,0.3157894736842105,2,767,121,51,31
1,21,03:20:00==>03:30:00,653376,2,12,202,8,0,0,1,787,92,26,22
1,22,03:30:00==>03:40:00,653376,8,12,202,9,0,0,2,678,110,17,25
1,23,03:40:00==>03:50:00,653376,8,12,202,5,0,0,2,731,76,33,53
1,24,03:50:00==>04:00:00,653376,4,12,202,10,3,0.3,5,651,101,36,30
1,25,04:00:00==>04:10:00,653376,4,12,202,15,2,0.13333333333333333,5,694,105,45,39
1,26,04:10:00==>04:20:00,653376,4,12,202,5,0,0,0,644,108,44,27
1,27,04:20:00==>04:30:00,653376,4,12,202,3,0,0,4,720,79,34,28
1,28,04:30:00==>04:40:00,653376,4,12,202,7,1,0.14285714285714285,2,590,81,15,26
1,29,04:40:00==>04:50:00,653376,4,12,202,6,0,0,0,644,85,34,41
1,30,04:50:00==>05:00:00,653376,4,12,202,10,0,0,1,590,103,28,30
1,31,05:00:00==>05:10:00,653376,4,12,206,9,1,0.1111111111111111,3,641,92,32,32
1,32,05:10:00==>05:20:00,653376,4,11,206,5,0,0,0,649,106,46,46
1,33,05:20:00==>05:30:00,653376,4,11,206,5,0,0,1,698,113,25,39
1,34,05:30:00==>05:40:00,653376,4,11,206,9,1,0.1111111111111111,2,725,110,36,41
1,35,05:40:00==>05:50:00,653376,4,12,212,15,0,0,1,713,106,51,27
1,36,05:50:00==>06:00:00,653376,4,12,212,9,3,0.3333333333333333,0,712,138,37,32
1,37,06:00:00==>06:10:00,653376,8,12,212,21,7,0.3333333333333333,13,843,110,29,24
1,38,06:10:00==>06:20:00,653376,4,12,212,28,12,0.42857142857142855,5,779,142,52,27
1,39,06:20:00==>06:30:00,653376,4,12,212,30,10,0.3333333333333333,12,863,160,58,58
1,40,06:30:00==>06:40:00,653376,4,12,212,48,2,0.041666666666666664,12,951,153,47,44
1,41,06:40:00==>06:50:00,653376,4,12,212,47,1,0.02127659574468085,9,1040,224,64,55
1,42,06:50:00==>07:00:00,653376,8,11,212,72,3,0.041666666666666664,16,1221,195,58,60
1,43,07:00:00==>07:10:00,653376,8,11,212,95,1,0.010526315789473684,38,1292,199,83,49
1,44,07:10:00==>07:20:00,653376,8,11,212,93,4,0.043010752688172046,44,1331,253,87,74
1,45,07:20:00==>07:30:00,653376,8,11,212,155,2,0.012903225806451613,51,1347,286,76,77
1,46,07:30:00==>07:40:00,653376,8,11,206,201,3,0.014925373134328358,72,1367,377,111,63
1,47,07:40:00==>07:50:00,653376,8,11,208,238,9,0.037815126050420166,93,1517,374,125,90
1,48,07:50:00==>08:00:00,653376,8,11,208,265,4,0.01509433962264151,82,1491,400,97,82
1,49,08:00:00==>08:10:00,653376,8,11,208,336,11,0.03273809523809524,118,1643,371,120,60
1,50,08:10:00==>08:20:00,653376,8,12,208,353,14,0.039660056657223795,110,1605,378,121,57
1,51,08:20:00==>08:30:00,653376,8,12,208,302,12,0.039735099337748346,74,1667,366,126,68
1,52,08:30:00==>08:40:00,653376,8,12,208,355,14,0.03943661971830986,105,1602,327,77,57
1,53,08:40:00==>08:50:00,653376,8,12,209,419,25,0.059665871121718374,139,1628,291,86,62
1,54,08:50:00==>09:00:00,653376,8,12,209,234,3,0.01282051282051282,108,1591,312,95,42
