area,time,timeSpan,poiCount,totalOrders,gap,gapRate,ordersAsDest,lv1,lv2,lv3,lv4,weather,temperature,pm25
1,1,00:00:00==>00:10:00,653376,77,4,0.05194805194805195,25,,,,,,,
1,2,00:10:00==>00:20:00,653376,57,7,0.12280701754385964,11,1280,189,49,67,,,
1,3,00:20:00==>00:30:00,653376,68,7,0.10294117647058823,11,1135,217,46,41,,,
1,4,00:30:00==>00:40:00,653376,53,0,0,17,1231,173,79,54,3,5,174
1,5,00:40:00==>00:50:00,653376,39,1,0.02564102564102564,9,1210,167,61,47,3,5,176
1,6,00:50:00==>01:00:00,653376,33,0,0,8,1114,141,41,60,3,5,176
1,7,01:00:00==>01:10:00,653376,31,6,0.1935483870967742,7,1098,167,63,56,3,5,176
1,8,01:10:00==>01:20:00,653376,38,5,0.13157894736842105,12,1088,172,46,54,3,5,176
1,9,01:20:00==>01:30:00,653376,33,5,0.15151515151515152,7,1119,136,53,42,3,5,176
1,10,01:30:00==>01:40:00,653376,22,0,0,5,1065,166,43,32,3,5,176
1,11,01:40:00==>01:50:00,653376,38,1,0.02631578947368421,3,1022,159,46,36,3,5,188
1,12,01:50:00==>02:00:00,653376,29,0,0,6,1027,149,40,40,3,5,188
1,13,02:00:00==>02:10:00,653376,23,1,0.043478260869565216,2,1042,132,39,37,3,5,188
1,14,02:10:00==>02:20:00,653376,23,0,0,4,1042,134,46,26,3,5,188
1,15,02:20:00==>02:30:00,653376,28,1,0.03571428571428571,3,933,112,35,50,3,5,188
1,16,02:30:00==>02:40:00,653376,13,1,0.07692307692307693,3,910,117,24,30,3,5,188
1,17,02:40:00==>02:50:00,653376,11,0,0,3,889,134,45,28,3,5,188
1,18,02:50:00==>03:00:00,653376,12,0,0,4,963,114,31,35,3,5,188
1,19,03:00:00==>03:10:00,653376,9,0,0,2,913,110,30,45,3,5,187
1,20,03:10:00==>03:20:00,653376,12,3,0.25,9,851,110,26,35,3,5,187
1,21,03:20:00==>03:30:00,653376,16,1,0.0625,4,860,100,33,38,3,5,187
1,22,03:30:00==>03:40:00,653376,6,0,0,3,740,139,31,48,3,5,187
1,23,03:40:00==>03:50:00,653376,1,0,0,3,722,112,30,46,3,5,187
1,24,03:50:00==>04:00:00,653376,8,1,0.125,3,791,121,33,39,3,5,187
1,25,04:00:00==>04:10:00,653376,6,0,0,1,651,88,36,40,3,5,179
1,26,04:10:00==>04:20:00,653376,2,0,0,0,686,84,34,41,3,5,179
1,27,04:20:00==>04:30:00,653376,6,0,0,0,665,82,24,24,3,5,179
1,28,04:30:00==>04:40:00,653376,10,2,0.2,3,632,61,27,28,3,5,179
1,29,04:40:00==>04:50:00,653376,9,0,0,0,568,87,26,63,3,4,179
1,30,04:50:00==>05:00:00,653376,8,2,0.25,3,631,103,20,40,3,4,168
1,31,05:00:00==>05:10:00,653376,4,1,0.25,1,638,116,35,35,3,4,168
1,32,05:10:00==>05:20:00,653376,7,0,0,1,766,87,21,41,3,4,168
1,33,05:20:00==>05:30:00,653376,8,2,0.25,0,713,111,29,43,3,4,168
1,34,05:30:00==>05:40:00,653376,8,2,0.25,0,748,97,36,58,3,4,168
1,35,05:40:00==>05:50:00,653376,15,2,0.13333333333333333,1,806,135,46,42,3,4,161
1,36,05:50:00==>06:00:00,653376,22,3,0.13636363636363635,5,693,106,42,48,3,4,161
1,37,06:00:00==>06:10:00,653376,21,3,0.14285714285714285,2,919,124,30,56,3,4,161
1,38,06:10:00==>06:20:00,653376,37,8,0.21621621621621623,6,887,147,43,31,3,4,161
1,39,06:20:00==>06:30:00,653376,30,7,0.23333333333333334,9,980,169,60,32,3,4,161
1,40,06:30:00==>06:40:00,653376,47,3,0.06382978723404255,9,987,147,49,40,3,4,161
1,41,06:40:00==>06:50:00,653376,41,1,0.024390243902439025,10,1082,156,63,53,3,4,154
1,42,06:50:00==>07:00:00,653376,48,2,0.041666666666666664,15,1135,205,59,71,2,4,154
1,43,07:00:00==>07:10:00,653376,76,1,0.013157894736842105,14,1223,246,91,53,2,4,154
1,44,07:10:00==>07:20:00,653376,117,3,0.02564102564102564,31,1345,268,59,93,2,4,154
1,45,07:20:00==>07:30:00,653376,141,2,0.014184397163120567,50,1370,288,92,95,2,4,154
1,46,07:30:00==>07:40:00,653376,215,3,0.013953488372093023,82,1437,342,85,77,2,4,154
1,47,07:40:00==>07:50:00,653376,248,3,0.012096774193548387,101,1453,370,112,73,,,
1,48,07:50:00==>08:00:00,653376,229,2,0.008733624454148471,86,1537,382,105,96,2,4,154
1,49,08:00:00==>08:10:00,653376,308,2,0.006493506493506494,132,1578,390,107,56,2,4,151
1,50,08:10:00==>08:20:00,653376,389,18,0.04627249357326478,116,1552,372,109,59,,,
1,51,08:20:00==>08:30:00,653376,354,44,0.12429378531073447,89,1571,350,85,73,,,
1,52,08:30:00==>08:40:00,653376,274,7,0.025547445255474453,116,1705,318,109,49,2,4,151
1,53,08:40:00==>08:50:00,653376,423,31,0.07328605200945626,147,1599,307,74,53,,,
1,54,08:50:00==>09:00:00,653376,285,7,0.02456140350877193,98,1568,318,88,74,,,
1,55,09:00:00==>09:10:00,653376,210,8,0.0380952380952381,73,1691,360,79,66,2,5,149
1,56,09:10:00==>09:20:00,653376,178,1,0.0056179775280898875,58,1547,340,118,76,,,
1,57,09:20:00==>09:30:00,653376,191,5,0.02617801047120419,61,1582,353,98,70,,,
1,58,09:30:00==>09:40:00,653376,131,2,0.015267175572519083,45,1553,340,103,105,,,
1,59,09:40:00==>09:50:00,653376,130,4,0.03076923076923077,50,1519,358,91,86,2,6,146
1,60,09:50:00==>10:00:00,653376,133,3,0.022556390977443608,41,1558,285,104,79,,,
1,61,10:00:00==>10:10:00,653376,133,3,0.022556390977443608,41,1549,321,104,77,,,
1,62,10:10:00==>10:20:00,653376,125,2,0.016,44,1496,300,83,90,2,7,146
1,63,10:20:00==>10:30:00,653376,110,2,0.01818181818181818,33,1494,277,87,65,,,
1,64,10:30:00==>10:40:00,653376,132,5,0.03787878787878788,36,1557,295,70,73,,,
1,65,10:40:00==>10:50:00,653376,129,1,0.007751937984496124,47,1533,287,98,55,2,8,141
1,66,10:50:00==>11:00:00,653376,119,4,0.03361344537815126,38,1501,267,103,76,2,8,141
1,67,11:00:00==>11:10:00,653376,151,2,0.013245033112582781,36,1438,297,78,68,,,
1,68,11:10:00==>11:20:00,653376,157,7,0.044585987261146494,46,1468,248,85,61,2,9,141
1,69,11:20:00==>11:30:00,653376,138,6,0.043478260869565216,41,1492,236,75,61,,,
1,70,11:30:00==>11:40:00,653376,151,7,0.046357615894039736,65,1429,274,87,84,2,9,141
1,71,11:40:00==>11:50:00,653376,176,17,0.09659090909090909,57,1496,280,88,80,,,
1,72,11:50:00==>12:00:00,653376,183,13,0.07103825136612021,38,1445,262,71,105,2,9,141
1,73,12:00:00==>12:10:00,653376,174,5,0.028735632183908046,65,1480,305,106,83,2,9,141
1,74,12:10:00==>12:20:00,653376,145,5,0.034482758620689655,50,1505,307,109,84,2,9,141
1,75,12:20:00==>12:30:00,653376,152,7,0.046052631578947366,47,1501,273,120,82,2,9,141
1,76,12:30:00==>12:40:00,653376,165,7,0.04242424242424243,54,1531,262,101,73,2,9,143
1,77,12:40:00==>12:50:00,653376,164,5,0.03048780487804878,49,1519,270,102,71,2,9,123
1,78,12:50:00==>13:00:00,653376,154,3,0.01948051948051948,57,1459,307,107,85,2,9,123
1,79,13:00:00==>13:10:00,653376,165,6,0.03636363636363636,50,1496,293,110,81,2,9,123
1,80,13:10:00==>13:20:00,653376,185,5,0.02702702702702703,57,1473,232,88,58,2,10,123
1,81,13:20:00==>13:30:00,653376,195,8,0.041025641025641026,55,1428,285,105,84,2,10,123
1,82,13:30:00==>13:40:00,653376,161,5,0.031055900621118012,62,1418,279,111,89,2,10,123
1,83,13:40:00==>13:50:00,653376,155,2,0.012903225806451613,60,1460,298,94,73,2,10,97
1,84,13:50:00==>14:00:00,653376,152,3,0.019736842105263157,71,1383,301,83,76,2,10,97
1,85,14:00:00==>14:10:00,653376,187,4,0.0213903743315508,44,1424,324,106,86,2,11,97
1,86,14:10:00==>14:20:00,653376,163,6,0.03680981595092025,53,1469,261,97,83,2,11,97
