time,begin,end,area,total,gap,gapRate,total_dest
1,Mon Jan 04 2016 00:00:00 GMT+0800 (CST),Mon Jan 04 2016 00:10:00 GMT+0800 (CST),1,52,3,0.057692307692307696,14
1,Mon Jan 04 2016 00:00:00 GMT+0800 (CST),Mon Jan 04 2016 00:10:00 GMT+0800 (CST),2,4,0,0,2
1,Mon Jan 04 2016 00:00:00 GMT+0800 (CST),Mon Jan 04 2016 00:10:00 GMT+0800 (CST),3,1,0,0,0
1,Mon Jan 04 2016 00:00:00 GMT+0800 (CST),Mon Jan 04 2016 00:10:00 GMT+0800 (CST),4,13,0,0,19
1,Mon Jan 04 2016 00:00:00 GMT+0800 (CST),Mon Jan 04 2016 00:10:00 GMT+0800 (CST),5,2,1,0.5,2
1,Mon Jan 04 2016 00:00:00 GMT+0800 (CST),Mon Jan 04 2016 00:10:00 GMT+0800 (CST),6,3,0,0,5
1,Mon Jan 04 2016 00:00:00 GMT+0800 (CST),Mon Jan 04 2016 00:10:00 GMT+0800 (CST),7,43,2,0.046511627906976744,31
1,Mon Jan 04 2016 00:00:00 GMT+0800 (CST),Mon Jan 04 2016 00:10:00 GMT+0800 (CST),8,107,5,0.04672897196261682,73
1,Mon Jan 04 2016 00:00:00 GMT+0800 (CST),Mon Jan 04 2016 00:10:00 GMT+0800 (CST),9,9,0,0,2
1,Mon Jan 04 2016 00:00:00 GMT+0800 (CST),Mon Jan 04 2016 00:10:00 GMT+0800 (CST),10,0,0,NaN,0
1,Mon Jan 04 2016 00:00:00 GMT+0800 (CST),Mon Jan 04 2016 00:10:00 GMT+0800 (CST),11,9,5,0.5555555555555556,8
1,Mon Jan 04 2016 00:00:00 GMT+0800 (CST),Mon Jan 04 2016 00:10:00 GMT+0800 (CST),12,59,4,0.06779661016949153,10
1,Mon Jan 04 2016 00:00:00 GMT+0800 (CST),Mon Jan 04 2016 00:10:00 GMT+0800 (CST),13,2,0,0,2
1,Mon Jan 04 2016 00:00:00 GMT+0800 (CST),Mon Jan 04 2016 00:10:00 GMT+0800 (CST),14,17,1,0.058823529411764705,40
1,Mon Jan 04 2016 00:00:00 GMT+0800 (CST),Mon Jan 04 2016 00:10:00 GMT+0800 (CST),15,0,0,NaN,0
1,Mon Jan 04 2016 00:00:00 GMT+0800 (CST),Mon Jan 04 2016 00:10:00 GMT+0800 (CST),16,5,3,0.6,1
1,Mon Jan 04 2016 00:00:00 GMT+0800 (CST),Mon Jan 04 2016 00:10:00 GMT+0800 (CST),17,2,2,1,0
1,Mon Jan 04 2016 00:00:00 GMT+0800 (CST),Mon Jan 04 2016 00:10:00 GMT+0800 (CST),18,1,0,0,1
1,Mon Jan 04 2016 00:00:00 GMT+0800 (CST),Mon Jan 04 2016 00:10:00 GMT+0800 (CST),19,23,2,0.08695652173913043,25
1,Mon Jan 04 2016 00:00:00 GMT+0800 (CST),Mon Jan 04 2016 00:10:00 GMT+0800 (CST),20,23,2,0.08695652173913043,16
1,Mon Jan 04 2016 00:00:00 GMT+0800 (CST),Mon Jan 04 2016 00:10:00 GMT+0800 (CST),21,28,5,0.17857142857142858,16
1,Mon Jan 04 2016 00:00:00 GMT+0800 (CST),Mon Jan 04 2016 00:10:00 GMT+0800 (CST),22,20,12,0.6,17
1,Mon Jan 04 2016 00:00:00 GMT+0800 (CST),Mon Jan 04 2016 00:10:00 GMT+0800 (CST),23,156,39,0.25,62
1,Mon Jan 04 2016 00:00:00 GMT+0800 (CST),Mon Jan 04 2016 00:10:00 GMT+0800 (CST),24,32,2,0.0625,22
1,Mon Jan 04 2016 00:00:00 GMT+0800 (CST),Mon Jan 04 2016 00:10:00 GMT+0800 (CST),25,14,2,0.14285714285714285,8
1,Mon Jan 04 2016 00:00:00 GMT+0800 (CST),Mon Jan 04 2016 00:10:00 GMT+0800 (CST),26,3,0,0,15
1,Mon Jan 04 2016 00:00:00 GMT+0800 (CST),Mon Jan 04 2016 00:10:00 GMT+0800 (CST),27,54,21,0.3888888888888889,10
1,Mon Jan 04 2016 00:00:00 GMT+0800 (CST),Mon Jan 04 2016 00:10:00 GMT+0800 (CST),28,43,14,0.32558139534883723,23
1,Mon Jan 04 2016 00:00:00 GMT+0800 (CST),Mon Jan 04 2016 00:10:00 GMT+0800 (CST),29,7,2,0.2857142857142857,14
1,Mon Jan 04 2016 00:00:00 GMT+0800 (CST),Mon Jan 04 2016 00:10:00 GMT+0800 (CST),30,0,0,NaN,0
1,Mon Jan 04 2016 00:00:00 GMT+0800 (CST),Mon Jan 04 2016 00:10:00 GMT+0800 (CST),31,2,1,0.5,3
1,Mon Jan 04 2016 00:00:00 GMT+0800 (CST),Mon Jan 04 2016 00:10:00 GMT+0800 (CST),32,2,1,0.5,1
1,Mon Jan 04 2016 00:00:00 GMT+0800 (CST),Mon Jan 04 2016 00:10:00 GMT+0800 (CST),33,5,1,0.2,1
1,Mon Jan 04 2016 00:00:00 GMT+0800 (CST),Mon Jan 04 2016 00:10:00 GMT+0800 (CST),34,0,0,NaN,7
1,Mon Jan 04 2016 00:00:00 GMT+0800 (CST),Mon Jan 04 2016 00:10:00 GMT+0800 (CST),35,1,0,0,6
1,Mon Jan 04 2016 00:00:00 GMT+0800 (CST),Mon Jan 04 2016 00:10:00 GMT+0800 (CST),36,3,0,0,6
1,Mon Jan 04 2016 00:00:00 GMT+0800 (CST),Mon Jan 04 2016 00:10:00 GMT+0800 (CST),37,36,1,0.027777777777777776,38
1,Mon Jan 04 2016 00:00:00 GMT+0800 (CST),Mon Jan 04 2016 00:10:00 GMT+0800 (CST),38,2,0,0,3
1,Mon Jan 04 2016 00:00:00 GMT+0800 (CST),Mon Jan 04 2016 00:10:00 GMT+0800 (CST),39,41,31,0.7560975609756098,1
1,Mon Jan 04 2016 00:00:00 GMT+0800 (CST),Mon Jan 04 2016 00:10:00 GMT+0800 (CST),40,0,0,NaN,2
1,Mon Jan 04 2016 00:00:00 GMT+0800 (CST),Mon Jan 04 2016 00:10:00 GMT+0800 (CST),41,1,0,0,1
1,Mon Jan 04 2016 00:00:00 GMT+0800 (CST),Mon Jan 04 2016 00:10:00 GMT+0800 (CST),42,31,6,0.1935483870967742,15
1,Mon Jan 04 2016 00:00:00 GMT+0800 (CST),Mon Jan 04 2016 00:10:00 GMT+0800 (CST),43,0,0,NaN,1
1,Mon Jan 04 2016 00:00:00 GMT+0800 (CST),Mon Jan 04 2016 00:10:00 GMT+0800 (CST),44,0,0,NaN,2
1,Mon Jan 04 2016 00:00:00 GMT+0800 (CST),Mon Jan 04 2016 00:10:00 GMT+0800 (CST),45,2,0,0,1
1,Mon Jan 04 2016 00:00:00 GMT+0800 (CST),Mon Jan 04 2016 00:10:00 GMT+0800 (CST),46,24,1,0.041666666666666664,33
1,Mon Jan 04 2016 00:00:00 GMT+0800 (CST),Mon Jan 04 2016 00:10:00 GMT+0800 (CST),47,5,2,0.4,2
