area,tag,count
1,4#16,415
1,1#10,498
1,24,2324
1,25,1245
1,20,26394
1,22,1162
1,23,747
1,4,7387
1,8,166
1,5#3,2075
1,5#1,4648
1,8#2,7553
1,8#3,1743
1,8#4,2075
1,1#2,1909
1,1#1,498
1,1#6,83
1,1#5,8051
1,1#4,83
1,1#8,4814
1,14#10,498
1,4#1,830
1,7,6557
1,15#7,1826
1,15#6,2573
1,15#4,83
1,15#3,2822
1,15#2,1743
1,4#8,415
1,4#9,1577
1,4#6,415
1,4#7,249
1,4#5,3320
1,4#2,3486
1,4#3,1162
1,15#8,83
1,16#3,332
1,16#4,7221
1,16#5,166
1,17#1,83
1,16#9,249
1,17#3,83
1,17#2,12201
1,17#5,6225
1,17#4,3984
1,11#8,40836
1,13#8,6474
1,11#3,8798
1,13#4,36603
1,11#1,332
1,13#6,83
1,11#7,3901
1,11#6,18426
1,11#5,1577
1,11#4,43243
1,19#3,20418
1,19#2,332
1,19#1,830
1,19#4,3154
1,14#7,166
1,14#3,415
1,6,26145
1,4#10,2573
1,4#11,1494
1,4#13,1660
1,4#14,3154
1,1#11,3984
1,4#17,1328
1,4#18,996
1,3#1,1411
1,3#3,166
1,3#2,332
1,11,17347
1,15,3652
1,14,332
1,17,1411
1,16,5478
1,19,52041
1,6#1,3984
1,6#2,664
1,6#3,1660
1,6#4,83
1,2#12,12616
1,2#13,6640
1,2#10,1577
1,2#11,166
1,20#7,5893
1,20#6,664
1,20#5,3071
1,20#4,6889
1,20#2,4648
1,20#1,9296
1,16#12,3071
1,16#10,8134
1,16#11,6474
1,20#9,83
1,20#8,44073
1,23#2,166
1,23#3,415
1,23#5,581
1,22#1,1162
1,22#3,83
1,22#2,1660
1,22#5,83
1,22#4,913
1,22#6,166
1,25#8,1079
1,25#9,3984
1,25#2,83
1,25#1,83
1,25#6,166
1,25#7,1411
1,1,2739
1,5,83
1,24#3,1245
1,24#2,2905
1,24#1,59179
1,13#5,83
1,11#2,4731
1,2#8,83
1,2#4,83
1,2#5,332
1,2#6,2241
1,2#7,664
1,2#1,166
1,2#2,5229
1,2#3,747
2,4#16,166
2,24,83
2,25,581
2,20,24153
2,22,1411
2,23,166
2,4,3403
2,8,996
2,5#3,747
2,5#1,1079
2,8#2,3403
2,8#3,1826
2,8#1,166
2,8#4,2656
2,8#5,664
2,1#2,913
2,1#1,83
2,1#6,166
2,1#5,5644
2,1#4,83
2,1#8,747
2,14#10,166
2,3,83
2,7,4150
2,15#7,996
2,15#6,3735
2,15#4,83
2,15#3,6723
2,15#2,3071
2,4#8,249
2,4#9,581
2,4#6,332
2,4#7,332
2,4#4,83
2,4#5,1245
2,4#2,1328
2,4#3,498
2,4#1,166
2,16#1,166
2,16#3,498
2,16#4,1494
2,16#8,83
2,17#3,83
2,17#2,5810
2,17#5,5312
2,17#4,1494
2,11#8,21912
2,13#8,83
2,13#5,249
2,11#2,2573
2,11#1,664
2,11#7,1162
2,11#6,4316
2,11#5,498
2,11#4,15189
2,19#3,11703
2,19#2,332
2,19#1,1992
2,14#6,166
2,14#7,166
2,14#3,166
2,6,18841
2,14#8,83
2,4#10,1079
2,4#11,1743
2,4#13,1245
2,4#14,1826
2,1#11,2324
2,4#17,664
2,4#18,581
2,3#1,1660
2,3#2,83
2,11,3984
2,15,3320
2,14,83
2,17,1162
2,16,8134
2,19,26892
2,6#1,415
2,6#2,581
2,6#3,166
2,6#4,166
2,2#12,747
2,2#13,332
2,2#10,1909
2,2#11,498
2,20#7,8715
2,20#6,664
2,20#5,2573
2,20#4,5561
2,20#2,2075
2,20#1,5063
2,16#12,415
2,16#10,1577
2,16#11,249
2,20#8,52124
2,23#2,83
2,23#3,83
2,23#4,166
2,23#5,166
2,23#6,83
2,22#1,498
2,22#3,830
2,22#2,1660
2,22#5,747
2,22#4,1909
2,25#8,1162
2,25#9,2988
2,25#2,83
2,25#3,415
2,25#6,581
2,25#7,3486
2,25#5,83
2,1,1245
2,5,83
2,24#2,1328
2,24#1,7553
2,11#3,747
2,13#4,6640
2,2#4,166
2,2#5,249
2,2#6,747
2,2#7,83
2,2#2,2739
2,2#3,166
2,21#2,166
3,20#7,830
3,20#4,166
3,20#2,166
3,20#1,1577
3,16#12,166
3,16#10,249
3,16#11,166
3,7#1,83
3,4#11,83
3,20#8,498
3,16#8,166
3,22#2,166
3,22#5,332
3,22#4,166
3,25,249
3,14#6,498
3,19#3,830
3,19#2,166
3,19#1,332
3,25#9,498
3,20,166
3,22,332
3,19#4,166
3,25#7,83
3,25#5,166
3,1,83
3,4,249
3,7,2158
3,6,498
3,24#1,332
3,14#3,166
3,15#7,166
3,15#6,249
3,15#4,249
3,15#3,498
3,15#2,249
3,4#9,166
3,4#6,83
3,4#14,166
3,4#2,415
3,8#2,83
3,11#3,83
3,4#12,332
3,16#3,166
3,16#4,747
3,2#10,166
3,8#4,83
3,11#2,83
3,4#18,249
3,17#2,83
3,3#1,1660
3,14,166
3,11,166
3,1#2,83
3,7#2,83
3,15,498
3,1#6,332
3,1#5,166
3,16,498
3,19,6308
3,2#5,332
3,2#6,83
3,2#2,166
3,11#6,83
3,1#11,83
3,11#8,1909
3,21#2,415
3,13#8,830
3,13#5,166
3,13#4,83
3,11#1,166
3,13#6,249
3,11#7,83
3,1#9,83
3,11#5,83
3,11#4,249
4,4#16,249
4,1#10,83
4,24,581
4,25,747
4,20,11122
4,22,830
4,23,83
4,4,2739
4,5#3,498
4,5#1,664
4,8#2,1577
4,8#3,249
4,8#4,1162
4,8#5,83
4,1#2,415
4,1#1,83
4,1#5,2573
4,1#4,166
4,1#8,913
4,14#10,249
4,7,4565
4,15#7,332
4,15#6,747
4,15#3,2407
4,15#2,830
4,4#8,166
4,4#9,415
4,4#6,166
4,4#7,415
4,4#5,913
4,4#2,664
4,4#3,332
4,4#1,166
4,16#2,166
4,16#4,2075
4,16#8,332
