time,weather,temperature,pm25
1,4,10,151
1,4,10,151
2,4,10,151
2,4,10,151
3,4,10,151
3,4,10,151
4,4,10,151
4,4,10,151
5,4,10,147
5,4,10,147
6,4,10,147
6,4,10,147
7,4,10,147
7,4,10,147
8,4,10,147
8,4,10,147
9,4,10,147
9,4,10,147
10,4,10,147
10,4,10,147
11,4,10,161
11,4,10,161
12,4,10,161
12,4,10,161
13,4,10,161
13,4,10,161
14,4,10,161
14,4,10,161
15,4,10,161
15,4,10,161
16,4,10,161
16,4,10,161
17,4,10,155
17,4,10,155
18,4,10,155
18,4,10,155
19,4,10,155
19,4,10,155
20,4,10,155
20,4,10,155
21,4,10,155
21,4,10,155
22,4,10,155
22,4,10,155
23,4,10,155
23,4,10,155
24,4,10,155
24,4,10,155
25,4,10,155
25,4,10,155
26,4,10,155
26,4,10,155
27,4,10,155
27,4,10,155
28,4,10,155
28,4,10,155
29,4,10,155
29,4,10,155
30,4,10,148
30,4,10,148
31,4,10,148
31,4,10,148
32,4,10,148
32,4,10,148
33,4,10,148
33,4,10,148
34,4,10,148
34,4,10,148
35,4,10,145
35,4,9,145
36,4,9,145
36,4,9,145
37,4,9,145
37,4,9,145
38,4,9,145
38,4,9,145
39,4,9,145
39,4,9,145
40,4,9,145
40,4,9,145
41,4,9,145
41,4,9,145
42,4,9,142
42,2,9,142
43,2,9,142
43,2,9,142
44,2,9,142
44,2,9,142
45,2,9,142
45,2,9,142
46,2,9,142
46,2,9,142
47,2,9,142
47,2,9,142
48,2,9,139
48,2,9,139
49,2,9,139
49,2,9,139
50,2,9,139
50,2,9,139
51,2,9,139
51,2,9,139
52,2,9,139
52,2,9,139
53,2,9,140
53,2,10,140
54,2,10,140
54,2,10,140
55,2,10,140
55,3,10,140
56,3,10,140
56,2,10,140
57,2,11,140
57,2,11,140
58,2,11,140
59,2,11,143
59,2,11,143
60,2,11,143
60,2,12,143
61,2,13,143
61,2,13,143
62,2,13,143
62,2,13,143
63,2,13,143
63,2,13,143
64,2,13,143
64,2,14,143
65,2,14,143
65,2,14,143
66,2,14,146
66,2,14,146
67,2,14,146
67,2,14,146
68,2,14,146
68,2,15,146
69,2,15,146
69,2,15,146
70,2,15,146
70,2,15,146
71,2,16,159
71,2,16,159
72,2,16,159
72,2,16,159
73,2,16,159
73,2,16,159
74,2,16,159
74,2,17,159
75,2,17,159
75,2,17,159
76,2,17,159
76,2,17,159
77,2,17,167
77,2,17,167
78,2,17,167
78,2,17,167
79,2,17,167
79,2,17,167
80,2,17,167
80,2,17,167
81,2,17,167
81,2,17,167
82,2,18,167
82,2,18,167
83,2,18,167
83,2,18,167
84,2,18,167
84,2,18,167
85,2,18,167
85,2,18,167
86,2,18,167
86,2,19,167
87,2,19,167
87,2,19,167
88,2,19,152
88,2,19,152
89,2,19,130
89,2,19,130
90,2,19,130
90,2,19,130
91,2,19,130
91,2,19,130
92,2,19,130
92,2,19,130
93,2,19,130
93,2,19,130
94,2,19,130
94,2,19,130
95,2,19,132
95,2,19,132
96,2,19,132
96,2,19,132
97,2,19,132
97,2,19,132
98,2,19,132
98,2,19,132
99,2,19,132
99,2,19,132
100,2,19,132
100,2,19,132
101,2,18,134
101,2,18,134
102,2,18,134
102,2,18,134
103,2,18,134
103,2,18,134
104,2,17,134
105,2,17,134
105,2,17,134
106,2,17,134
106,2,17,134
107,2,17,139
108,2,16,139
108,2,16,139
109,2,16,139
109,2,16,139
110,2,16,139
110,2,16,139
111,2,16,139
111,2,16,139
112,2,15,139
112,2,15,139
113,2,15,139
113,2,15,139
114,2,15,153
114,2,15,153
115,2,15,153
115,2,15,153
116,2,15,153
116,2,15,153
117,2,15,153
117,2,15,153
118,2,15,153
118,2,15,153
119,2,15,172
119,2,15,172
120,2,15,172
120,2,15,172
121,2,15,172
121,2,15,172
122,2,15,172
122,2,15,172
123,2,15,172
123,2,15,172
124,2,15,172
124,2,15,172
125,2,15,188
125,2,15,188
126,2,15,188
126,2,15,188
127,2,15,188
127,3,15,188
128,3,15,188
128,2,15,188
129,2,15,188
129,2,15,188
130,2,15,188
130,2,15,188
131,2,15,193
131,2,15,193
132,2,15,193
132,2,14,193
133,2,14,193
133,2,14,193
134,2,14,193
134,2,14,193
135,2,14,193
135,2,14,193
136,2,14,193
136,2,14,193
137,2,14,192
137,2,14,192
138,2,14,192
138,2,14,192
139,2,14,192
139,2,14,192
140,2,14,192
140,2,14,192
141,2,14,192
141,2,14,192
142,2,14,192
142,2,14,192
143,2,14,187
143,2,13,187
144,2,13,187
144,2,13,187
