time,weather,pm25,averageOf,temperature
1,NaN,NaN,0,NaN
2,NaN,NaN,0,NaN
3,NaN,NaN,0,NaN
4,NaN,NaN,0,NaN
5,NaN,NaN,0,NaN
6,NaN,NaN,0,NaN
7,NaN,NaN,0,NaN
8,NaN,NaN,0,NaN
9,NaN,NaN,0,NaN
10,NaN,NaN,0,NaN
11,NaN,NaN,0,NaN
12,NaN,NaN,0,NaN
13,NaN,NaN,0,NaN
14,NaN,NaN,0,NaN
15,NaN,NaN,0,NaN
16,NaN,NaN,0,NaN
17,NaN,NaN,0,NaN
18,NaN,NaN,0,NaN
19,NaN,NaN,0,NaN
20,NaN,NaN,0,NaN
21,NaN,NaN,0,NaN
22,NaN,NaN,0,NaN
23,NaN,NaN,0,NaN
24,NaN,NaN,0,NaN
25,NaN,NaN,0,NaN
26,NaN,NaN,0,NaN
27,NaN,NaN,0,NaN
28,NaN,NaN,0,NaN
29,NaN,NaN,0,NaN
30,NaN,NaN,0,NaN
31,NaN,NaN,0,NaN
32,NaN,NaN,0,NaN
33,NaN,NaN,0,NaN
34,NaN,NaN,0,NaN
35,NaN,NaN,0,NaN
36,NaN,NaN,0,NaN
37,NaN,NaN,0,NaN
38,NaN,NaN,0,NaN
39,NaN,NaN,0,NaN
40,NaN,NaN,0,NaN
41,NaN,NaN,0,NaN
42,NaN,NaN,0,NaN
43,4,49,1,1
44,4,49,1,1
45,NaN,NaN,0,NaN
46,4,49,1,1
47,NaN,NaN,0,NaN
48,4,50,1,1
49,NaN,NaN,0,NaN
50,4,50,1,1
51,NaN,NaN,0,NaN
52,NaN,NaN,0,NaN
53,NaN,NaN,0,NaN
54,4,49,1,1
55,NaN,NaN,0,NaN
56,NaN,NaN,0,NaN
57,4,49,1,1
58,NaN,NaN,0,NaN
59,4,49,1,1
60,NaN,NaN,0,NaN
61,NaN,NaN,0,NaN
62,NaN,NaN,0,NaN
63,NaN,NaN,0,NaN
64,NaN,NaN,0,NaN
65,NaN,NaN,0,NaN
66,NaN,NaN,0,NaN
67,NaN,NaN,0,NaN
68,NaN,NaN,0,NaN
69,NaN,NaN,0,NaN
70,NaN,NaN,0,NaN
71,NaN,NaN,0,NaN
72,NaN,NaN,0,NaN
73,NaN,NaN,0,NaN
74,NaN,NaN,0,NaN
75,NaN,NaN,0,NaN
76,NaN,NaN,0,NaN
77,NaN,NaN,0,NaN
78,NaN,NaN,0,NaN
79,NaN,NaN,0,NaN
80,NaN,NaN,0,NaN
81,NaN,NaN,0,NaN
82,NaN,NaN,0,NaN
83,NaN,NaN,0,NaN
84,NaN,NaN,0,NaN
85,NaN,NaN,0,NaN
86,NaN,NaN,0,NaN
87,NaN,NaN,0,NaN
88,NaN,NaN,0,NaN
89,NaN,NaN,0,NaN
90,NaN,NaN,0,NaN
91,NaN,NaN,0,NaN
92,NaN,NaN,0,NaN
93,NaN,NaN,0,NaN
94,NaN,NaN,0,NaN
95,NaN,NaN,0,NaN
96,NaN,NaN,0,NaN
97,NaN,NaN,0,NaN
98,NaN,NaN,0,NaN
99,NaN,NaN,0,NaN
100,NaN,NaN,0,NaN
101,NaN,NaN,0,NaN
102,NaN,NaN,0,NaN
103,NaN,NaN,0,NaN
104,NaN,NaN,0,NaN
105,NaN,NaN,0,NaN
106,NaN,NaN,0,NaN
107,NaN,NaN,0,NaN
108,NaN,NaN,0,NaN
109,NaN,NaN,0,NaN
110,NaN,NaN,0,NaN
111,NaN,NaN,0,NaN
112,NaN,NaN,0,NaN
113,NaN,NaN,0,NaN
114,NaN,NaN,0,NaN
115,4,44,1,1
116,NaN,NaN,0,NaN
117,4,44,1,1
118,4,44,1,2
119,4,48,1,1
120,4,48,1,1
121,4,48,1,1
122,4,48,2,1
123,2,48,1,1
124,2,48,1,1
125,2,53,1,1
126,2,53,1,1
127,2,53,1,1
128,2,53,1,1
129,2,53,1,1
130,2,53,1,1
131,2,53,1,1
132,2,53,1,1
133,2,53,1,1
134,2,53,1,1
135,2,53,2,1
136,2,58,1,1
137,2,58,2,1
138,2,58,2,1
139,2,58,2,1
140,2,58,2,1
141,2,58,2,1
142,2,58,2,1
143,2,59,2,1
144,2,59,2,1
