area,time,timeSpan,poiCount,weather,temperature,pm25,totalOrders,gap,gapRate,ordersAsDest,lv1,lv2,lv3,lv4
1,1,00:00:00==>00:10:00,653376,4,7,105,94,2,0.02127659574468085,22,,,,
1,2,00:10:00==>00:20:00,653376,4,7,105,81,2,0.024691358024691357,17,1309,250,74,61
1,3,00:20:00==>00:30:00,653376,4,7,105,56,2,0.03571428571428571,10,1312,231,74,66
1,4,00:30:00==>00:40:00,653376,4,7,105,82,4,0.04878048780487805,13,1245,179,70,36
1,5,00:40:00==>00:50:00,653376,4,7,112,56,1,0.017857142857142856,22,1176,231,81,50
1,6,00:50:00==>01:00:00,653376,4,7,112,48,1,0.020833333333333332,12,1136,210,67,47
1,7,01:00:00==>01:10:00,653376,4,7,112,80,3,0.0375,16,1239,208,86,48
1,8,01:10:00==>01:20:00,653376,4,7,112,52,4,0.07692307692307693,11,1196,214,64,57
1,9,01:20:00==>01:30:00,653376,4,7,112,48,2,0.041666666666666664,10,1118,191,56,49
1,10,01:30:00==>01:40:00,653376,4,7,112,43,0,0,12,1150,170,68,44
1,11,01:40:00==>01:50:00,653376,4,7,118,40,6,0.15,12,1082,145,50,43
1,12,01:50:00==>02:00:00,653376,4,7,118,38,1,0.02631578947368421,5,1083,185,73,54
1,13,02:00:00==>02:10:00,653376,4,7,118,38,2,0.05263157894736842,8,1158,164,48,37
1,14,02:10:00==>02:20:00,653376,4,7,118,23,0,0,7,1111,175,41,32
1,15,02:20:00==>02:30:00,653376,4,6,118,24,2,0.08333333333333333,6,1027,179,46,44
1,16,02:30:00==>02:40:00,653376,4,6,118,31,1,0.03225806451612903,8,996,187,47,41
1,17,02:40:00==>02:50:00,653376,4,6,115,24,1,0.041666666666666664,6,1006,166,49,46
1,18,02:50:00==>03:00:00,653376,4,6,115,26,2,0.07692307692307693,5,1027,159,58,26
1,19,03:00:00==>03:10:00,653376,4,6,115,20,1,0.05,4,917,150,33,31
1,20,03:10:00==>03:20:00,653376,4,6,115,9,0,0,4,890,132,48,51
