area,time,timeSpan,poiCount,totalOrders,gap,gapRate,ordersAsDest,weather,temperature,pm25,lv1,lv2,lv3,lv4
1,1,00:00:00==>00:10:00,653376,55,6,0.10909090909090909,19,,,,,,,
1,2,00:10:00==>00:20:00,653376,65,4,0.06153846153846154,18,2,1,102,1220,167,58,57
1,3,00:20:00==>00:30:00,653376,38,0,0,19,2,1,102,1147,156,51,60
1,4,00:30:00==>00:40:00,653376,38,2,0.05263157894736842,13,2,1,100,1158,156,62,57
1,5,00:40:00==>00:50:00,653376,42,0,0,8,2,1,100,1161,134,45,43
1,6,00:50:00==>01:00:00,653376,21,0,0,6,2,1,108,1089,164,52,56
1,7,01:00:00==>01:10:00,653376,40,1,0.025,2,2,1,108,1120,175,49,46
1,8,01:10:00==>01:20:00,653376,33,1,0.030303030303030304,12,2,1,108,1091,152,40,43
1,9,01:20:00==>01:30:00,653376,15,0,0,6,2,0,108,1009,126,47,38
1,10,01:30:00==>01:40:00,653376,36,2,0.05555555555555555,6,2,0,108,1051,122,35,37
1,11,01:40:00==>01:50:00,653376,14,0,0,6,2,0,108,1078,118,24,48
1,12,01:50:00==>02:00:00,653376,13,0,0,3,2,0,108,955,155,58,40
1,13,02:00:00==>02:10:00,653376,17,1,0.058823529411764705,3,2,0,108,971,142,50,41
1,14,02:10:00==>02:20:00,653376,27,1,0.037037037037037035,5,2,0,108,945,127,34,37
1,15,02:20:00==>02:30:00,653376,19,0,0,3,2,0,108,918,121,47,38
1,16,02:30:00==>02:40:00,653376,28,4,0.14285714285714285,5,2,1,108,931,129,40,57
1,17,02:40:00==>02:50:00,653376,13,1,0.07692307692307693,7,2,0,106,912,90,23,14
1,18,02:50:00==>03:00:00,653376,15,1,0.06666666666666667,5,2,1,106,811,80,24,30
1,19,03:00:00==>03:10:00,653376,13,0,0,2,2,1,106,701,92,28,21
1,20,03:10:00==>03:20:00,653376,10,3,0.3,1,2,1,106,815,103,14,18
1,21,03:20:00==>03:30:00,653376,12,1,0.08333333333333333,0,2,1,106,761,132,25,39
1,22,03:30:00==>03:40:00,653376,3,0,0,0,2,1,106,750,108,54,31
1,23,03:40:00==>03:50:00,653376,13,3,0.23076923076923078,2,2,1,107,688,127,45,34
1,24,03:50:00==>04:00:00,653376,8,1,0.125,1,2,1,107,615,80,26,34
1,25,04:00:00==>04:10:00,653376,4,1,0.25,2,2,1,107,555,106,32,26
1,26,04:10:00==>04:20:00,653376,8,1,0.125,0,2,1,107,575,82,31,31
1,27,04:20:00==>04:30:00,653376,9,1,0.1111111111111111,2,2,1,107,626,108,45,59
1,28,04:30:00==>04:40:00,653376,10,0,0,1,2,1,107,694,77,34,38
1,29,04:40:00==>04:50:00,653376,7,2,0.2857142857142857,1,2,1,107,626,108,37,39
1,30,04:50:00==>05:00:00,653376,3,2,0.6666666666666666,1,2,1,112,688,106,35,38
1,31,05:00:00==>05:10:00,653376,6,0,0,0,2,1,112,573,99,23,22
1,32,05:10:00==>05:20:00,653376,10,2,0.2,1,2,1,112,662,101,16,34
1,33,05:20:00==>05:30:00,653376,8,1,0.125,1,2,1,112,650,75,23,42
1,34,05:30:00==>05:40:00,653376,8,2,0.25,2,2,1,112,740,126,36,31
1,35,05:40:00==>05:50:00,653376,11,1,0.09090909090909091,4,2,1,110,686,83,41,44
1,36,05:50:00==>06:00:00,653376,24,9,0.375,2,2,1,110,698,102,40,46
1,37,06:00:00==>06:10:00,653376,26,12,0.46153846153846156,2,2,1,110,781,125,46,28
1,38,06:10:00==>06:20:00,653376,23,4,0.17391304347826086,4,2,1,110,824,111,43,64
1,39,06:20:00==>06:30:00,653376,27,2,0.07407407407407407,2,2,1,110,928,137,33,28
1,40,06:30:00==>06:40:00,653376,45,3,0.06666666666666667,15,2,1,110,939,120,33,40
1,41,06:40:00==>06:50:00,653376,58,4,0.06896551724137931,10,2,1,106,970,229,50,60
1,42,06:50:00==>07:00:00,653376,64,2,0.03125,13,2,1,106,1176,193,70,44
1,43,07:00:00==>07:10:00,653376,109,6,0.05504587155963303,31,1,1,106,1224,228,61,56
1,44,07:10:00==>07:20:00,653376,145,5,0.034482758620689655,42,1,1,106,1289,268,80,84
1,45,07:20:00==>07:30:00,653376,160,4,0.025,55,1,1,106,1363,311,101,51
1,46,07:30:00==>07:40:00,653376,213,2,0.009389671361502348,100,1,1,106,1418,343,99,90
1,47,07:40:00==>07:50:00,653376,278,4,0.014388489208633094,84,1,1,94,1474,384,98,90
1,48,07:50:00==>08:00:00,653376,230,2,0.008695652173913044,89,1,1,94,1562,398,88,70
1,49,08:00:00==>08:10:00,653376,350,12,0.03428571428571429,106,,,,1615,399,92,65
1,50,08:10:00==>08:20:00,653376,397,61,0.15365239294710328,135,,,,1642,331,102,67
1,51,08:20:00==>08:30:00,653376,376,68,0.18085106382978725,98,2,1,94,1585,285,76,61
1,52,08:30:00==>08:40:00,653376,418,68,0.16267942583732056,122,,,,1617,308,78,71
1,53,08:40:00==>08:50:00,653376,432,76,0.17592592592592593,121,2,1,82,1723,291,86,60
1,54,08:50:00==>09:00:00,653376,282,22,0.07801418439716312,105,,,,1596,326,90,64
1,55,09:00:00==>09:10:00,653376,204,2,0.00980392156862745,78,2,2,82,1557,329,90,63
1,56,09:10:00==>09:20:00,653376,201,6,0.029850746268656716,48,,,,1574,349,118,70
1,57,09:20:00==>09:30:00,653376,183,1,0.00546448087431694,62,,,,1559,351,98,62
1,58,09:30:00==>09:40:00,653376,116,0,0,53,2,2,82,1496,338,95,75
1,59,09:40:00==>09:50:00,653376,168,3,0.017857142857142856,75,,,,1514,341,102,88
1,60,09:50:00==>10:00:00,653376,138,3,0.021739130434782608,39,,,,1596,308,125,83
1,61,10:00:00==>10:10:00,653376,125,0,0,44,,,,1497,269,99,75
1,62,10:10:00==>10:20:00,653376,110,1,0.00909090909090909,49,,,,1508,293,79,77
1,63,10:20:00==>10:30:00,653376,114,4,0.03508771929824561,47,,,,1560,327,113,75
1,64,10:30:00==>10:40:00,653376,152,1,0.006578947368421052,35,,,,1515,284,95,89
1,65,10:40:00==>10:50:00,653376,116,4,0.034482758620689655,31,,,,1536,272,89,73
1,66,10:50:00==>11:00:00,653376,133,3,0.022556390977443608,38,,,,1553,247,70,73
1,67,11:00:00==>11:10:00,653376,153,7,0.0457516339869281,43,,,,1518,264,101,101
1,68,11:10:00==>11:20:00,653376,153,2,0.013071895424836602,40,,,,1550,288,76,94
1,69,11:20:00==>11:30:00,653376,133,9,0.06766917293233082,34,,,,1489,279,93,70
1,70,11:30:00==>11:40:00,653376,166,17,0.10240963855421686,66,,,,1546,229,90,84
1,71,11:40:00==>11:50:00,653376,200,32,0.16,59,,,,1502,305,103,85
1,72,11:50:00==>12:00:00,653376,176,4,0.022727272727272728,53,,,,1454,289,120,70
1,73,12:00:00==>12:10:00,653376,152,5,0.03289473684210526,61,,,,1509,302,107,103
1,74,12:10:00==>12:20:00,653376,164,8,0.04878048780487805,39,,,,1484,294,93,69
1,75,12:20:00==>12:30:00,653376,155,4,0.025806451612903226,34,,,,1475,298,114,106
1,76,12:30:00==>12:40:00,653376,167,3,0.017964071856287425,43,,,,1459,306,105,79
1,77,12:40:00==>12:50:00,653376,169,2,0.011834319526627219,42,,,,1505,263,87,78
1,78,12:50:00==>13:00:00,653376,127,2,0.015748031496062992,53,,,,1501,324,84,84
1,79,13:00:00==>13:10:00,653376,165,3,0.01818181818181818,47,,,,1476,300,101,86
1,80,13:10:00==>13:20:00,653376,209,12,0.05741626794258373,47,,,,1399,266,77,85
1,81,13:20:00==>13:30:00,653376,173,3,0.017341040462427744,44,,,,1450,289,84,54
1,82,13:30:00==>13:40:00,653376,174,1,0.005747126436781609,47,,,,1490,268,107,82
1,83,13:40:00==>13:50:00,653376,168,7,0.041666666666666664,35,,,,1469,278,87,72
1,84,13:50:00==>14:00:00,653376,163,1,0.006134969325153374,47,,,,1456,269,92,60
1,85,14:00:00==>14:10:00,653376,188,5,0.026595744680851064,37,,,,1446,240,92,77
1,86,14:10:00==>14:20:00,653376,163,5,0.03067484662576687,33,,,,1484,266,82,78
1,87,14:20:00==>14:30:00,653376,150,3,0.02,44,,,,1438,272,82,81
1,88,14:30:00==>14:40:00,653376,171,5,0.029239766081871343,60,,,,1499,286,82,51
1,89,14:40:00==>14:50:00,653376,166,1,0.006024096385542169,50,,,,1478,268,104,64
1,90,14:50:00==>15:00:00,653376,164,0,0,48,,,,1478,327,93,80
1,91,15:00:00==>15:10:00,653376,172,5,0.029069767441860465,36,,,,1505,295,91,83
1,92,15:10:00==>15:20:00,653376,145,0,0,41,,,,1471,329,110,78
1,93,15:20:00==>15:30:00,653376,150,1,0.006666666666666667,56,,,,1491,344,88,54
1,94,15:30:00==>15:40:00,653376,214,5,0.02336448598130841,70,,,,1426,326,104,89
1,95,15:40:00==>15:50:00,653376,163,2,0.012269938650306749,51,,,,1469,354,134,68
1,96,15:50:00==>16:00:00,653376,184,2,0.010869565217391304,60,,,,1472,292,98,64
1,97,16:00:00==>16:10:00,653376,203,4,0.019704433497536946,57,,,,1501,339,130,94
1,98,16:10:00==>16:20:00,653376,193,5,0.025906735751295335,58,,,,1451,362,114,97
1,99,16:20:00==>16:30:00,653376,200,6,0.03,57,,,,1408,364,143,78
1,100,16:30:00==>16:40:00,653376,233,4,0.017167381974248927,80,,,,1452,433,120,99
1,101,16:40:00==>16:50:00,653376,248,16,0.06451612903225806,59,,,,1490,398,134,107
1,102,16:50:00==>17:00:00,653376,245,9,0.036734693877551024,66,,,,1468,379,99,90
1,103,17:00:00==>17:10:00,653376,340,11,0.03235294117647059,124,,,,1445,374,117,96
1,104,17:10:00==>17:20:00,653376,276,9,0.03260869565217391,93,,,,1492,446,167,106
1,105,17:20:00==>17:30:00,653376,235,4,0.01702127659574468,91,,,,1417,459,149,96
1,106,17:30:00==>17:40:00,653376,344,13,0.0377906976744186,149,,,,1445,461,161,87
1,107,17:40:00==>17:50:00,653376,297,14,0.04713804713804714,133,,,,1488,468,166,120
1,108,17:50:00==>18:00:00,653376,291,13,0.044673539518900345,84,,,,1414,512,158,69
1,109,18:00:00==>18:10:00,653376,358,17,0.04748603351955307,128,,,,1414,460,168,113
1,110,18:10:00==>18:20:00,653376,322,8,0.024844720496894408,88,,,,1449,474,147,105
1,111,18:20:00==>18:30:00,653376,302,10,0.033112582781456956,82,,,,,,,
1,112,18:30:00==>18:40:00,653376,272,8,0.029411764705882353,63,,,,,,,
1,113,18:40:00==>18:50:00,653376,275,7,0.025454545454545455,71,,,,,,,
1,114,18:50:00==>19:00:00,653376,219,5,0.0228310502283105,67,,,,,,,
1,115,19:00:00==>19:10:00,653376,231,6,0.025974025974025976,51,,,,,,,
1,116,19:10:00==>19:20:00,653376,203,5,0.024630541871921183,49,,,,,,,
1,117,19:20:00==>19:30:00,653376,241,4,0.016597510373443983,62,,,,,,,
1,118,19:30:00==>19:40:00,653376,265,9,0.033962264150943396,65,,,,,,,
1,119,19:40:00==>19:50:00,653376,264,7,0.026515151515151516,50,,,,,,,
1,120,19:50:00==>20:00:00,653376,237,7,0.029535864978902954,51,,,,,,,
1,121,20:00:00==>20:10:00,653376,268,9,0.033582089552238806,59,,,,,,,
1,122,20:10:00==>20:20:00,653376,312,2,0.00641025641025641,64,,,,,,,
1,123,20:20:00==>20:30:00,653376,258,4,0.015503875968992248,60,,,,,,,
1,124,20:30:00==>20:40:00,653376,267,5,0.018726591760299626,53,,,,,,,
1,125,20:40:00==>20:50:00,653376,287,8,0.027874564459930314,49,,,,1254,317,90,77
1,126,20:50:00==>21:00:00,653376,264,1,0.003787878787878788,53,,,,1324,493,165,129
1,127,21:00:00==>21:10:00,653376,295,11,0.03728813559322034,82,,,,1379,434,170,124
1,128,21:10:00==>21:20:00,653376,320,13,0.040625,62,,,,1309,511,189,147
1,129,21:20:00==>21:30:00,653376,246,6,0.024390243902439025,46,,,,,,,
1,130,21:30:00==>21:40:00,653376,259,11,0.04247104247104247,43,,,,,,,
1,131,21:40:00==>21:50:00,653376,227,5,0.022026431718061675,45,,,,,,,
1,132,21:50:00==>22:00:00,653376,241,4,0.016597510373443983,41,,,,,,,
1,133,22:00:00==>22:10:00,653376,252,6,0.023809523809523808,41,,,,,,,
1,134,22:10:00==>22:20:00,653376,202,7,0.034653465346534656,39,,,,,,,
1,135,22:20:00==>22:30:00,653376,164,3,0.018292682926829267,32,,,,,,,
1,136,22:30:00==>22:40:00,653376,147,8,0.05442176870748299,29,,,,,,,
1,137,22:40:00==>22:50:00,653376,135,3,0.022222222222222223,15,,,,,,,
1,138,22:50:00==>23:00:00,653376,135,3,0.022222222222222223,35,,,,1424,294,112,57
1,139,23:00:00==>23:10:00,653376,113,13,0.11504424778761062,35,,,,1586,315,87,66
1,140,23:10:00==>23:20:00,653376,79,1,0.012658227848101266,25,,,,1467,275,91,86
1,141,23:20:00==>23:30:00,653376,70,5,0.07142857142857142,11,,,,1443,271,89,56
1,142,23:30:00==>23:40:00,653376,78,1,0.01282051282051282,19,,,,1423,285,64,82
1,143,23:40:00==>23:50:00,653376,69,1,0.014492753623188406,15,,,,1382,261,84,60
1,144,23:50:00==>00:00:00,653376,62,6,0.0967741935483871,12,,,,1398,270,75,55
2,1,00:00:00==>00:10:00,343537,9,0,0,3,,,,,,,
2,2,00:10:00==>00:20:00,343537,7,0,0,2,2,1,102,672,69,11,11
2,3,00:20:00==>00:30:00,343537,21,0,0,0,2,1,102,692,51,22,14
2,4,00:30:00==>00:40:00,343537,10,2,0.2,2,2,1,100,718,46,6,19
2,5,00:40:00==>00:50:00,343537,7,0,0,1,2,1,100,694,48,14,17
2,6,00:50:00==>01:00:00,343537,6,0,0,1,2,1,108,689,42,6,17
2,7,01:00:00==>01:10:00,343537,9,0,0,0,2,1,108,654,42,21,16
2,8,01:10:00==>01:20:00,343537,8,1,0.125,0,2,1,108,658,57,6,15
2,9,01:20:00==>01:30:00,343537,6,2,0.3333333333333333,1,2,0,108,678,45,5,16
2,10,01:30:00==>01:40:00,343537,4,0,0,1,2,0,108,630,52,6,14
2,11,01:40:00==>01:50:00,343537,2,0,0,0,2,0,108,599,45,22,14
2,12,01:50:00==>02:00:00,343537,10,7,0.7,0,2,0,108,649,45,12,15
2,13,02:00:00==>02:10:00,343537,2,1,0.5,0,2,0,108,621,27,17,4
2,14,02:10:00==>02:20:00,343537,4,0,0,1,2,0,108,633,42,11,16
2,15,02:20:00==>02:30:00,343537,2,0,0,0,2,0,108,580,33,10,8
2,16,02:30:00==>02:40:00,343537,4,0,0,0,2,1,108,572,60,16,11
2,17,02:40:00==>02:50:00,343537,2,0,0,0,2,0,106,610,48,20,9
2,18,02:50:00==>03:00:00,343537,2,0,0,0,2,1,106,516,40,10,4
2,19,03:00:00==>03:10:00,343537,0,0,NaN,0,2,1,106,583,28,6,4
2,20,03:10:00==>03:20:00,343537,3,0,0,0,2,1,106,457,34,13,10
2,21,03:20:00==>03:30:00,343537,0,0,NaN,0,2,1,106,418,47,15,14
2,22,03:30:00==>03:40:00,343537,0,0,NaN,0,2,1,106,432,27,10,8
2,23,03:40:00==>03:50:00,343537,1,0,0,0,2,1,107,487,29,4,7
2,24,03:50:00==>04:00:00,343537,1,0,0,0,2,1,107,386,19,8,19
2,25,04:00:00==>04:10:00,343537,0,0,NaN,0,2,1,107,364,19,13,12
2,26,04:10:00==>04:20:00,343537,0,0,NaN,0,2,1,107,338,18,11,15
2,27,04:20:00==>04:30:00,343537,0,0,NaN,0,2,1,107,342,31,8,4
2,28,04:30:00==>04:40:00,343537,1,1,1,0,2,1,107,327,19,5,7
2,29,04:40:00==>04:50:00,343537,1,1,1,0,2,1,107,360,20,5,4
2,30,04:50:00==>05:00:00,343537,0,0,NaN,0,2,1,112,369,22,10,9
2,31,05:00:00==>05:10:00,343537,0,0,NaN,0,2,1,112,363,19,4,3
2,32,05:10:00==>05:20:00,343537,0,0,NaN,0,2,1,112,349,22,7,1
2,33,05:20:00==>05:30:00,343537,0,0,NaN,0,2,1,112,398,18,8,2
2,34,05:30:00==>05:40:00,343537,1,0,0,1,2,1,112,321,28,11,13
2,35,05:40:00==>05:50:00,343537,1,0,0,2,2,1,110,386,27,14,4
2,36,05:50:00==>06:00:00,343537,2,0,0,0,2,1,110,451,41,13,6
2,37,06:00:00==>06:10:00,343537,0,0,NaN,0,2,1,110,483,39,5,5
2,38,06:10:00==>06:20:00,343537,0,0,NaN,2,2,1,110,548,34,10,20
2,39,06:20:00==>06:30:00,343537,5,0,0,3,2,1,110,552,51,3,8
2,40,06:30:00==>06:40:00,343537,15,2,0.13333333333333333,0,2,1,110,576,46,10,14
2,41,06:40:00==>06:50:00,343537,15,2,0.13333333333333333,6,2,1,106,607,58,28,17
2,42,06:50:00==>07:00:00,343537,16,0,0,7,2,1,106,626,70,20,14
2,43,07:00:00==>07:10:00,343537,15,0,0,7,1,1,106,646,52,17,12
2,44,07:10:00==>07:20:00,343537,33,0,0,4,1,1,106,680,81,14,12
2,45,07:20:00==>07:30:00,343537,30,2,0.06666666666666667,11,1,1,106,678,104,14,19
2,46,07:30:00==>07:40:00,343537,32,1,0.03125,12,1,1,106,660,160,38,17
2,47,07:40:00==>07:50:00,343537,43,0,0,16,1,1,94,648,175,27,25
2,48,07:50:00==>08:00:00,343537,42,0,0,13,1,1,94,675,198,39,28
2,49,08:00:00==>08:10:00,343537,45,0,0,14,,,,711,163,22,8
2,50,08:10:00==>08:20:00,343537,43,0,0,12,,,,703,166,34,27
2,51,08:20:00==>08:30:00,343537,45,0,0,14,2,1,94,733,142,40,17
2,52,08:30:00==>08:40:00,343537,31,0,0,10,,,,739,141,33,13
2,53,08:40:00==>08:50:00,343537,31,0,0,8,2,1,82,694,144,22,19
2,54,08:50:00==>09:00:00,343537,19,0,0,9,,,,631,134,51,23
