area,time,timeSpan,poiCount,totalOrders,gap,gapRate,ordersAsDest,lv1,lv2,lv3,lv4,weather,temperature,pm25
1,1,00:00:00==>00:10:00,653376,60,2,0.03333333333333333,12,,,,,,,
1,2,00:10:00==>00:20:00,653376,47,1,0.02127659574468085,12,1367,191,67,81,,,
1,3,00:20:00==>00:30:00,653376,38,2,0.05263157894736842,10,1283,152,31,66,,,
1,4,00:30:00==>00:40:00,653376,39,1,0.02564102564102564,5,1235,142,60,52,,,
1,5,00:40:00==>00:50:00,653376,34,0,0,12,1134,200,50,44,,,
1,6,00:50:00==>01:00:00,653376,36,0,0,13,1177,160,46,61,,,
1,7,01:00:00==>01:10:00,653376,40,4,0.1,10,1125,165,55,46,,,
1,8,01:10:00==>01:20:00,653376,40,4,0.1,9,1125,131,50,62,,,
1,9,01:20:00==>01:30:00,653376,23,1,0.043478260869565216,15,1125,156,39,54,,,
1,10,01:30:00==>01:40:00,653376,40,8,0.2,6,1162,157,63,56,,,
1,11,01:40:00==>01:50:00,653376,35,5,0.14285714285714285,8,1103,140,41,31,,,
1,12,01:50:00==>02:00:00,653376,18,1,0.05555555555555555,3,1083,99,24,32,,,
1,13,02:00:00==>02:10:00,653376,18,1,0.05555555555555555,5,1051,107,34,26,,,
1,14,02:10:00==>02:20:00,653376,24,1,0.041666666666666664,4,937,163,58,39,,,
1,15,02:20:00==>02:30:00,653376,14,0,0,2,933,126,50,34,,,
1,16,02:30:00==>02:40:00,653376,10,1,0.1,3,984,133,38,43,,,
1,17,02:40:00==>02:50:00,653376,14,2,0.14285714285714285,2,906,114,37,35,,,
1,18,02:50:00==>03:00:00,653376,23,5,0.21739130434782608,8,839,78,19,32,,,
1,19,03:00:00==>03:10:00,653376,17,1,0.058823529411764705,4,899,121,30,57,,,
1,20,03:10:00==>03:20:00,653376,9,0,0,4,1024,112,28,43,,,
1,21,03:20:00==>03:30:00,653376,17,1,0.058823529411764705,2,884,82,34,27,,,
1,22,03:30:00==>03:40:00,653376,13,2,0.15384615384615385,2,823,98,27,37,,,
1,23,03:40:00==>03:50:00,653376,11,2,0.18181818181818182,1,826,126,31,30,,,
1,24,03:50:00==>04:00:00,653376,8,2,0.25,1,754,96,25,32,,,
1,25,04:00:00==>04:10:00,653376,14,1,0.07142857142857142,4,705,91,19,30,,,
1,26,04:10:00==>04:20:00,653376,6,1,0.16666666666666666,1,716,122,46,34,,,
1,27,04:20:00==>04:30:00,653376,10,2,0.2,7,716,87,31,53,,,
1,28,04:30:00==>04:40:00,653376,12,0,0,6,554,127,34,33,,,
1,29,04:40:00==>04:50:00,653376,4,0,0,1,699,118,43,47,,,
1,30,04:50:00==>05:00:00,653376,9,2,0.2222222222222222,1,902,72,31,38,,,
1,31,05:00:00==>05:10:00,653376,8,4,0.5,0,784,94,79,40,,,
1,32,05:10:00==>05:20:00,653376,10,2,0.2,1,655,103,35,51,,,
1,33,05:20:00==>05:30:00,653376,10,1,0.1,0,702,88,21,33,,,
1,34,05:30:00==>05:40:00,653376,11,2,0.18181818181818182,1,830,118,32,27,,,
1,35,05:40:00==>05:50:00,653376,14,8,0.5714285714285714,1,883,127,26,31,,,
1,36,05:50:00==>06:00:00,653376,19,9,0.47368421052631576,4,832,80,30,25,,,
1,37,06:00:00==>06:10:00,653376,27,14,0.5185185185185185,2,775,91,25,29,,,
1,38,06:10:00==>06:20:00,653376,22,4,0.18181818181818182,2,883,94,33,22,,,
1,39,06:20:00==>06:30:00,653376,30,3,0.1,5,883,116,28,46,,,
1,40,06:30:00==>06:40:00,653376,35,1,0.02857142857142857,11,1015,105,36,47,,,
1,41,06:40:00==>06:50:00,653376,59,1,0.01694915254237288,22,1199,167,51,46,,,
1,42,06:50:00==>07:00:00,653376,75,4,0.05333333333333334,23,1294,227,78,62,,,
1,43,07:00:00==>07:10:00,653376,92,2,0.021739130434782608,24,1374,233,82,67,4,1,49
1,44,07:10:00==>07:20:00,653376,132,5,0.03787878787878788,44,1505,217,80,85,4,1,49
1,45,07:20:00==>07:30:00,653376,204,8,0.0392156862745098,84,1518,276,88,107,,,
1,46,07:30:00==>07:40:00,653376,297,5,0.016835016835016835,113,1662,312,86,87,4,1,49
1,47,07:40:00==>07:50:00,653376,340,23,0.06764705882352941,144,1723,353,104,97,,,
1,48,07:50:00==>08:00:00,653376,326,20,0.06134969325153374,137,1752,349,111,90,4,1,50
1,49,08:00:00==>08:10:00,653376,515,154,0.29902912621359223,178,1792,341,103,78,,,
1,50,08:10:00==>08:20:00,653376,623,293,0.47030497592295345,156,1798,370,109,79,4,1,50
1,51,08:20:00==>08:30:00,653376,549,203,0.3697632058287796,145,1830,338,111,68,,,
1,52,08:30:00==>08:40:00,653376,518,134,0.25868725868725867,133,1733,339,84,85,,,
1,53,08:40:00==>08:50:00,653376,611,215,0.3518821603927987,228,1793,316,85,48,,,
1,54,08:50:00==>09:00:00,653376,351,22,0.06267806267806268,138,1793,305,108,77,4,1,49
1,55,09:00:00==>09:10:00,653376,269,9,0.03345724907063197,90,1861,295,98,88,,,
1,56,09:10:00==>09:20:00,653376,236,1,0.00423728813559322,60,1705,300,139,72,,,
1,57,09:20:00==>09:30:00,653376,182,1,0.005494505494505495,65,1743,338,92,62,4,1,49
1,58,09:30:00==>09:40:00,653376,186,4,0.021505376344086023,55,1789,339,84,93,,,
1,59,09:40:00==>09:50:00,653376,178,7,0.03932584269662921,42,1663,343,98,81,4,1,49
1,60,09:50:00==>10:00:00,653376,167,2,0.011976047904191617,57,1717,347,123,92,,,
1,61,10:00:00==>10:10:00,653376,150,7,0.04666666666666667,52,1694,369,127,93,,,
1,62,10:10:00==>10:20:00,653376,136,3,0.022058823529411766,62,1679,341,90,95,,,
1,63,10:20:00==>10:30:00,653376,136,3,0.022058823529411766,36,1686,306,102,82,,,
1,64,10:30:00==>10:40:00,653376,156,4,0.02564102564102564,24,1660,309,108,67,,,
1,65,10:40:00==>10:50:00,653376,154,3,0.01948051948051948,42,1647,281,94,77,,,
1,66,10:50:00==>11:00:00,653376,159,6,0.03773584905660377,39,1636,317,99,87,,,
1,67,11:00:00==>11:10:00,653376,144,3,0.020833333333333332,48,1635,301,131,97,,,
1,68,11:10:00==>11:20:00,653376,165,4,0.024242424242424242,45,1675,296,117,86,,,
1,69,11:20:00==>11:30:00,653376,165,5,0.030303030303030304,43,1722,338,116,105,,,
1,70,11:30:00==>11:40:00,653376,157,2,0.012738853503184714,36,1675,312,94,91,,,
1,71,11:40:00==>11:50:00,653376,179,8,0.0446927374301676,37,1735,327,91,105,,,
