area,count
1,653376
2,343537
3,31125
4,187829
5,27888
6,106240
7,1174865
8,1518402
9,183762
10,30295
11,254644
12,878555
13,104248
14,427923
15,14442
16,82170
17,121844
18,126907
19,232068
20,238210
21,285105
22,173885
23,1711045
24,460899
25,244767
26,76526
27,537591
28,475510
29,166083
30,73621
31,95201
32,64325
33,102256
34,80427
35,64823
36,43824
37,727744
38,100098
39,67313
40,41500
41,55859
42,448449
43,51128
44,37599
45,18094
46,495925
47,87565
48,1436921
49,49219
50,57270
51,3340833
52,17596
53,44903
54,151641
55,12865
56,32868
57,161518
58,48389
59,50796
60,29880
61,89142
62,2988
63,73704
64,211982
65,91217
66,138942
