time,begin,end,area,total,gap,gapRate,total_dest
1,Sun Jan 03 2016 00:00:00 GMT+0800 (CST),Sun Jan 03 2016 00:10:00 GMT+0800 (CST),1,70,2,0.02857142857142857,26
1,Sun Jan 03 2016 00:00:00 GMT+0800 (CST),Sun Jan 03 2016 00:10:00 GMT+0800 (CST),2,8,1,0.125,1
1,Sun Jan 03 2016 00:00:00 GMT+0800 (CST),Sun Jan 03 2016 00:10:00 GMT+0800 (CST),3,0,0,NaN,0
1,Sun Jan 03 2016 00:00:00 GMT+0800 (CST),Sun Jan 03 2016 00:10:00 GMT+0800 (CST),4,11,1,0.09090909090909091,11
1,Sun Jan 03 2016 00:00:00 GMT+0800 (CST),Sun Jan 03 2016 00:10:00 GMT+0800 (CST),5,0,0,NaN,3
1,Sun Jan 03 2016 00:00:00 GMT+0800 (CST),Sun Jan 03 2016 00:10:00 GMT+0800 (CST),6,6,1,0.16666666666666666,6
1,Sun Jan 03 2016 00:00:00 GMT+0800 (CST),Sun Jan 03 2016 00:10:00 GMT+0800 (CST),7,60,5,0.08333333333333333,52
1,Sun Jan 03 2016 00:00:00 GMT+0800 (CST),Sun Jan 03 2016 00:10:00 GMT+0800 (CST),8,99,6,0.06060606060606061,94
1,Sun Jan 03 2016 00:00:00 GMT+0800 (CST),Sun Jan 03 2016 00:10:00 GMT+0800 (CST),9,14,1,0.07142857142857142,7
1,Sun Jan 03 2016 00:00:00 GMT+0800 (CST),Sun Jan 03 2016 00:10:00 GMT+0800 (CST),10,0,0,NaN,0
1,Sun Jan 03 2016 00:00:00 GMT+0800 (CST),Sun Jan 03 2016 00:10:00 GMT+0800 (CST),11,9,1,0.1111111111111111,10
1,Sun Jan 03 2016 00:00:00 GMT+0800 (CST),Sun Jan 03 2016 00:10:00 GMT+0800 (CST),12,63,7,0.1111111111111111,17
1,Sun Jan 03 2016 00:00:00 GMT+0800 (CST),Sun Jan 03 2016 00:10:00 GMT+0800 (CST),13,3,0,0,3
1,Sun Jan 03 2016 00:00:00 GMT+0800 (CST),Sun Jan 03 2016 00:10:00 GMT+0800 (CST),14,21,1,0.047619047619047616,50
1,Sun Jan 03 2016 00:00:00 GMT+0800 (CST),Sun Jan 03 2016 00:10:00 GMT+0800 (CST),15,0,0,NaN,0
1,Sun Jan 03 2016 00:00:00 GMT+0800 (CST),Sun Jan 03 2016 00:10:00 GMT+0800 (CST),16,5,0,0,3
1,Sun Jan 03 2016 00:00:00 GMT+0800 (CST),Sun Jan 03 2016 00:10:00 GMT+0800 (CST),17,2,0,0,1
1,Sun Jan 03 2016 00:00:00 GMT+0800 (CST),Sun Jan 03 2016 00:10:00 GMT+0800 (CST),18,2,0,0,2
1,Sun Jan 03 2016 00:00:00 GMT+0800 (CST),Sun Jan 03 2016 00:10:00 GMT+0800 (CST),19,20,3,0.15,21
1,Sun Jan 03 2016 00:00:00 GMT+0800 (CST),Sun Jan 03 2016 00:10:00 GMT+0800 (CST),20,19,2,0.10526315789473684,20
