area,time,lv1,lv2,lv3,lv4
1,2,1280,189,49,67
1,3,1135,217,46,41
1,4,1231,173,79,54
1,5,1210,167,61,47
1,6,1114,141,41,60
1,7,1098,167,63,56
1,8,1088,172,46,54
1,9,1119,136,53,42
1,10,1065,166,43,32
1,11,1022,159,46,36
1,12,1027,149,40,40
1,13,1042,132,39,37
1,14,1042,134,46,26
1,15,933,112,35,50
1,16,910,117,24,30
1,17,889,134,45,28
1,18,963,114,31,35
1,19,913,110,30,45
1,20,851,110,26,35
1,21,860,100,33,38
1,22,740,139,31,48
1,23,722,112,30,46
1,24,791,121,33,39
1,25,651,88,36,40
1,26,686,84,34,41
1,27,665,82,24,24
1,28,632,61,27,28
1,29,568,87,26,63
1,30,631,103,20,40
1,31,638,116,35,35
1,32,766,87,21,41
1,33,713,111,29,43
1,34,748,97,36,58
1,35,806,135,46,42
1,36,693,106,42,48
1,37,919,124,30,56
1,38,887,147,43,31
1,39,980,169,60,32
1,40,987,147,49,40
1,41,1082,156,63,53
1,42,1135,205,59,71
1,43,1223,246,91,53
1,44,1345,268,59,93
1,45,1370,288,92,95
1,46,1437,342,85,77
1,47,1453,370,112,73
1,48,1537,382,105,96
1,49,1578,390,107,56
1,50,1552,372,109,59
1,51,1571,350,85,73
1,52,1705,318,109,49
1,53,1599,307,74,53
1,54,1568,318,88,74
1,55,1691,360,79,66
1,56,1547,340,118,76
1,57,1582,353,98,70
1,58,1553,340,103,105
1,59,1519,358,91,86
1,60,1558,285,104,79
1,61,1549,321,104,77
1,62,1496,300,83,90
1,63,1494,277,87,65
1,64,1557,295,70,73
1,65,1533,287,98,55
1,66,1501,267,103,76
1,67,1438,297,78,68
1,68,1468,248,85,61
1,69,1492,236,75,61
1,70,1429,274,87,84
1,71,1496,280,88,80
1,72,1445,262,71,105
1,73,1480,305,106,83
1,74,1505,307,109,84
1,75,1501,273,120,82
1,76,1531,262,101,73
1,77,1519,270,102,71
1,78,1459,307,107,85
1,79,1496,293,110,81
1,80,1473,232,88,58
1,81,1428,285,105,84
1,82,1418,279,111,89
1,83,1460,298,94,73
1,84,1383,301,83,76
1,85,1424,324,106,86
1,86,1469,261,97,83
1,87,1482,256,107,84
1,88,1506,286,69,71
1,89,1466,291,89,80
1,90,1478,269,80,81
1,91,1555,304,102,90
1,92,1482,340,107,52
1,93,1485,310,69,46
1,94,1440,299,86,81
1,95,1458,348,86,96
1,96,1515,339,109,80
1,97,1549,330,89,68
1,98,1387,384,127,79
1,99,1489,346,89,90
1,100,1491,366,107,78
1,101,1494,385,139,80
1,102,1494,404,123,102
1,103,1494,413,158,102
1,104,1548,414,130,162
1,105,1537,437,131,99
1,106,1526,438,147,100
1,107,1491,472,150,142
1,108,1487,495,165,100
1,109,1439,493,186,100
1,110,1486,458,169,109
1,111,1377,465,148,118
1,112,1428,449,164,110
1,113,1430,479,161,103
1,114,1461,445,160,113
1,115,1479,442,145,132
1,116,1429,409,152,133
1,117,1451,443,134,97
1,118,1439,428,192,110
1,119,1518,440,119,122
1,120,1495,347,131,103
1,121,1505,367,115,88
1,122,1476,393,141,92
1,123,1408,387,129,101
1,124,1463,372,122,99
1,125,1432,405,122,77
1,126,1468,379,112,72
1,127,1465,341,117,100
1,128,1413,336,121,86
1,129,1457,349,92,103
1,130,1428,323,108,74
1,131,1391,323,110,80
1,132,1427,290,94,85
1,133,1404,324,93,108
1,134,1426,285,87,82
1,135,1511,294,89,68
1,136,1449,303,78,75
1,137,1442,319,104,70
1,138,1424,291,77,83
1,139,1404,249,100,81
1,140,1361,223,71,64
1,141,1390,243,72,64
1,142,1403,236,79,66
1,143,1297,231,54,77
1,144,1262,223,66,70
2,2,731,52,8,11
2,3,684,65,12,20
2,4,663,54,12,9
2,5,687,32,26,7
2,6,617,33,8,5
2,7,667,45,10,8
2,8,686,51,17,18
2,9,647,49,10,12
2,10,670,38,19,9
2,11,608,42,15,8
2,12,637,42,14,15
2,13,561,36,14,16
2,14,583,37,16,19
2,15,513,29,10,7
2,16,542,43,13,9
2,17,501,38,11,9
2,18,509,29,6,12
2,19,452,44,13,16
2,20,453,58,26,18
2,21,551,35,5,9
2,22,382,32,5,7
2,23,366,41,12,9
2,24,408,28,4,11
2,25,357,21,5,11
2,26,327,24,10,18
2,27,317,37,13,5
2,28,375,21,3,4
2,29,409,21,10,5
2,30,340,19,7,4
2,31,370,22,2,8
2,32,383,21,8,5
2,33,415,39,13,13
2,34,419,29,6,7
2,35,391,36,7,21
2,36,471,34,11,8
2,37,432,38,5,2
2,38,491,38,7,28
2,39,498,51,12,12
2,40,555,45,14,8
2,41,623,40,13,24
2,42,597,47,15,6
2,43,640,71,23,24
2,44,694,87,8,14
2,45,667,109,28,18
2,46,649,124,15,24
2,47,685,155,42,17
2,48,662,210,39,18
2,49,723,153,25,15
2,50,752,164,23,16
2,51,713,160,23,22
2,52,722,160,27,9
2,53,734,137,33,18
2,54,653,147,24,12
2,55,655,139,32,26
2,56,678,145,44,10
2,57,617,172,23,26
2,58,649,145,38,28
2,59,653,159,23,25
2,60,667,150,17,20
2,61,655,147,35,23
2,62,678,145,18,9
2,63,615,132,28,20
2,64,648,125,28,21
2,65,642,109,20,15
2,66,643,137,38,28
2,67,706,142,25,16
2,68,694,149,26,35
2,69,709,148,34,13
2,70,675,142,24,19
2,71,665,131,21,27
2,72,607,174,26,31
2,73,655,137,36,19
2,74,642,138,28,27
2,75,641,134,35,22
2,76,657,159,35,19
2,77,663,151,26,11
2,78,682,150,24,14
2,79,650,154,26,45
2,80,633,167,25,16
2,81,667,171,35,21
2,82,561,203,28,24
2,83,663,171,31,16
2,84,615,178,45,23
2,85,660,186,32,26
2,86,601,164,37,13
2,87,557,155,38,32
2,88,548,159,38,33
2,89,600,178,33,19
2,90,606,185,44,26
2,91,560,219,23,22
2,92,559,216,51,25
2,93,499,216,56,30
2,94,573,223,36,19
2,95,552,229,38,33
2,96,599,240,51,33
2,97,611,235,46,29
2,98,540,238,51,30
2,99,592,207,38,33
2,100,575,250,38,23
2,101,565,264,45,30
2,102,546,270,44,19
2,103,590,294,50,21
2,104,550,313,54,34
2,105,498,321,74,37
2,106,520,338,65,36
2,107,532,302,88,29
2,108,608,256,82,42
2,109,643,219,47,43
2,110,631,241,61,29
2,111,615,235,35,18
2,112,564,267,54,13
2,113,590,232,66,25
2,114,589,258,58,41
2,115,616,269,74,43
2,116,702,248,60,39
2,117,633,267,58,34
2,118,675,242,47,39
2,119,659,226,54,31
2,120,700,228,53,15
2,121,620,212,59,33
2,122,639,227,46,34
2,123,688,229,36,24
2,124,695,248,52,26
2,125,659,211,40,22
2,126,615,194,33,23
2,127,712,190,35,25
2,128,703,158,27,35
2,129,637,164,24,24
2,130,675,150,16,23
2,131,686,154,33,15
2,132,719,134,28,14
2,133,782,97,14,18
2,134,774,111,24,23
2,135,740,106,14,17
2,136,728,136,19,12
2,137,698,91,26,27
