time,weather,temperature,pm25
1,4,6,160
2,4,6,160
2,4,6,160
3,4,6,160
6,2,5,162
6,2,5,162
7,2,5,162
7,2,5,162
8,2,5,162
8,2,5,162
9,2,5,162
9,2,5,162
10,2,5,162
10,2,4,162
11,2,4,155
11,2,4,155
12,2,4,155
12,2,4,155
13,2,4,155
13,2,4,155
14,2,4,155
14,2,4,155
15,2,4,155
15,2,4,155
16,2,4,155
16,2,4,155
17,2,4,143
17,2,4,143
18,2,4,143
18,2,4,143
19,2,4,143
19,2,4,143
20,2,4,143
20,2,4,143
21,2,4,143
21,2,3,143
22,2,3,143
22,2,3,143
23,2,3,120
23,2,3,120
24,2,3,120
24,3,3,120
25,3,3,120
25,3,3,120
26,3,3,120
26,3,3,120
27,3,3,120
27,3,3,120
28,3,3,120
28,3,3,120
29,3,3,120
29,3,3,120
30,3,3,100
30,3,3,100
31,3,3,100
31,3,3,100
32,3,3,100
32,3,3,100
33,3,3,100
33,3,3,100
34,3,3,100
34,3,3,100
35,3,3,81
35,3,3,81
36,3,3,81
36,3,3,81
37,3,3,81
37,3,3,81
38,3,3,81
38,3,3,81
39,3,3,81
39,3,3,81
40,3,3,81
40,3,4,81
41,3,4,72
41,3,4,72
42,3,4,72
42,2,4,72
43,2,4,72
43,2,4,72
44,2,4,72
44,2,4,72
45,2,4,72
45,2,4,72
46,2,4,72
46,2,4,72
47,2,4,81
47,2,4,81
48,2,4,81
48,2,4,81
49,2,4,81
49,2,4,81
50,2,4,81
50,2,4,81
51,2,4,81
51,2,4,81
52,2,4,81
52,2,4,81
53,2,4,93
53,2,4,93
54,2,4,93
54,2,4,93
55,2,4,93
55,2,4,93
56,2,4,93
56,2,4,93
57,2,4,93
57,2,4,93
58,2,4,93
58,2,4,93
59,2,4,98
59,2,4,98
60,2,4,98
60,3,5,98
61,3,5,98
61,3,5,98
62,3,5,98
62,3,5,98
63,3,5,98
63,3,5,98
64,3,5,98
64,3,5,98
65,3,5,97
65,3,5,97
66,3,5,97
66,3,5,97
67,3,5,97
67,3,5,97
68,3,5,97
68,3,5,97
69,3,5,97
69,3,5,97
70,3,5,97
70,3,5,97
71,3,6,102
71,3,6,102
72,3,6,102
72,3,6,102
73,3,6,102
73,3,6,102
74,3,6,102
74,3,6,102
75,3,6,102
75,3,6,102
76,3,6,102
76,3,6,102
77,3,6,101
77,3,6,101
78,3,6,101
78,3,6,101
79,3,6,101
80,3,6,101
80,3,6,101
81,3,6,101
81,3,6,101
82,3,6,101
82,3,6,101
83,3,6,104
83,3,6,104
84,3,6,104
84,3,6,104
85,3,6,104
85,3,6,104
86,3,6,104
86,3,6,104
87,3,6,104
87,3,6,104
88,3,6,104
88,3,6,104
89,3,6,110
89,3,6,110
90,3,6,110
90,3,6,110
91,3,6,110
91,3,6,110
92,3,6,110
92,3,6,110
93,3,6,110
93,3,6,110
94,3,6,110
94,3,6,110
95,3,6,114
96,3,6,114
96,3,6,114
97,3,6,114
97,3,6,114
98,3,6,114
98,3,6,114
99,3,6,114
99,3,6,114
100,3,6,114
100,3,6,114
101,3,6,114
101,3,6,114
102,3,6,114
102,3,6,114
103,3,6,114
103,3,6,114
104,3,6,114
104,3,6,114
105,3,6,114
105,3,6,114
106,3,6,116
106,3,6,116
107,3,6,116
107,3,6,116
108,3,5,116
108,3,5,116
109,3,5,116
109,3,5,116
110,3,5,116
110,3,5,116
111,3,5,116
111,3,5,116
112,3,5,115
112,3,5,115
113,3,5,111
113,3,5,111
114,3,5,111
114,2,5,111
115,2,5,111
115,2,5,111
116,2,5,111
116,2,5,111
117,2,5,111
117,2,5,111
118,2,5,111
118,2,5,111
119,2,5,113
119,2,5,113
120,2,5,113
120,2,5,113
121,2,5,113
121,2,5,113
122,2,5,113
123,2,5,113
123,2,5,113
124,2,5,113
124,2,5,113
125,2,4,120
125,2,4,120
126,2,4,120
127,2,4,120
127,2,4,120
128,2,4,120
128,2,4,120
129,2,4,120
129,2,4,120
130,2,4,120
130,2,4,120
131,2,4,120
131,2,4,120
132,2,4,120
132,2,4,120
133,2,4,120
133,2,4,120
134,2,4,120
134,2,4,120
135,2,4,120
135,2,4,120
136,2,4,120
137,2,4,127
137,2,4,127
138,2,4,127
138,2,4,127
139,2,4,127
139,2,4,127
140,2,4,127
140,2,4,127
141,2,4,127
141,2,4,127
142,2,4,127
142,2,4,127
143,2,4,127
143,2,4,127
144,2,4,127
144,2,4,127
