time,weather,pm25,averageOf,temperature
1,4,53,2,8
2,4,53,2,8
3,4,53,2,8
4,4,53,2,8
5,6,56,2,8
6,8,56,2,8
7,8,56,2,8
8,8,56,2,8
9,8,56,2,8
10,5.5,56,2,8
11,3,55,2,8
12,3,55,2,8
13,3,55,2,8
14,3,55,2,8
15,3,55,2,8
16,3,55,2,8
17,3,55,2,8
18,3,45,2,8
19,3.5,45,2,7.5
20,3.5,45,2,7
21,3,45,2,7
22,3,45,2,7
23,3,42,2,7
24,3.5,42,2,7
25,4,42,2,7
26,4,42,2,7
27,4,42,2,7
28,4,42,2,7
29,4,42,2,7
30,4,42,2,7
31,4,42,2,7
32,4,42,2,7
33,4,42,2,7
34,4,42,2,7
35,4,46,2,7
36,4,46,2,7
37,4,46,2,7
38,4,46,2,7
39,4,46,1,7
40,4,46,1,7
41,4,50,2,7
42,4,50,1,7
43,4,50,1,7
44,4,50,2,7
45,4,50,2,7
46,4,50,2,7
47,4,55,2,7
48,4,55,2,7
49,4,55,1,7
50,4,55,2,7
51,4,55,2,7
52,4,55,2,7
53,4,54,2,7
54,4,54,2,7
55,4,54,2,7
56,4,54,2,7
57,4,54,2,7
58,4,54,2,7
59,4,54,2,7
60,4,54,2,7
61,4,54,2,7
62,4,54,2,7
63,4,54,2,7
64,4,54,2,7
65,4,59,2,7
66,4,59,2,7
67,4,59,2,7
68,4,59,2,8
69,4,59,2,8
70,4,59,2,8
71,4,64,2,8
72,4,64,2,7.5
73,4,64,2,7
74,4,64,2,7
75,4,64,2,7
76,4,64,2,7
77,4,68,2,7
78,4,68,2,7
79,4,68,2,7
80,4,68,2,7
81,4,68,2,7
82,4,68,2,7.5
83,4,66,2,8
84,4,66,2,8
85,4,66,2,8
86,4,66,2,8
87,4,66,2,8
88,4,66,2,8
89,4,69,2,8
90,4,69,2,8
91,3.5,69,2,8
92,3.5,69,2,8
93,4,69,2,8
94,4,69,2,8
95,4,69,2,8
96,4,69,2,8
97,4,69,2,8
98,4,69,2,8
99,4,69,2,8
100,4,75,2,8
101,4,83,2,8
102,4,83,2,8
103,4,83,2,8
104,4,83,2,8
105,4,83,2,8
106,4,83,2,8
107,4,83,2,8
108,4,83,2,8
109,4,83,2,8
110,4,83,2,8
111,4,83,2,8
112,4,86,2,8
113,4,86,2,8
114,4,85,2,8
115,4,85,2,8
116,4,85,2,8
117,4,85,2,8
118,4,85,2,8
119,4,88,2,8
120,4,88,2,8
121,4,88,2,8
122,4,88,2,8
123,4,88,2,8
124,4,88,2,8
125,4,93,2,8
126,4,93,2,8
127,3.5,93,2,7.5
128,3.5,93,2,7
129,4,93,2,7
130,4,93,2,7
131,4,93,2,7
132,4,93,2,7
133,4,93,2,7
134,4,93,2,7
135,4,93,2,7
136,4,93,2,7
137,4,93,2,7
138,4,93,2,7
139,4,93,2,7
140,4,93,2,7
141,4,93,2,7
142,4,93,2,7
143,4,93,2,8
144,4,93,2,8
