out,in_time,in_gap_0,in_ordersAsDest_0,in_weather_0,in_temperature_0,in_pm25_0,in_lv1_0,in_lv2_0,in_lv3_0,in_lv4_0,in_area_0,in_totalOrders_0,in_poiCount,in_area_1,in_totalOrders_1,in_gap_1,in_ordersAsDest_1,in_weather_1,in_temperature_1,in_pm25_1,in_lv1_1,in_lv2_1,in_lv3_1,in_lv4_1,in_area_2,in_totalOrders_2,in_gap_2,in_ordersAsDest_2,in_weather_2,in_temperature_2,in_pm25_2,in_lv1_2,in_lv2_2,in_lv3_2,in_lv4_2
0,5,2,13,2,1,100,1158,156,62,57,1,38,653376,1,38,0,19,2,1,102,1147,156,51,60,1,65,4,18,2,1,102,1220,167,58,57
0,6,0,8,2,1,100,1161,134,45,43,1,42,653376,1,38,2,13,2,1,100,1158,156,62,57,1,38,0,19,2,1,102,1147,156,51,60
1,7,0,6,2,1,108,1089,164,52,56,1,21,653376,1,42,0,8,2,1,100,1161,134,45,43,1,38,2,13,2,1,100,1158,156,62,57
1,8,1,2,2,1,108,1120,175,49,46,1,40,653376,1,21,0,6,2,1,108,1089,164,52,56,1,42,0,8,2,1,100,1161,134,45,43
0,9,1,12,2,1,108,1091,152,40,43,1,33,653376,1,40,1,2,2,1,108,1120,175,49,46,1,21,0,6,2,1,108,1089,164,52,56
2,10,0,6,2,0,108,1009,126,47,38,1,15,653376,1,33,1,12,2,1,108,1091,152,40,43,1,40,1,2,2,1,108,1120,175,49,46
0,11,2,6,2,0,108,1051,122,35,37,1,36,653376,1,15,0,6,2,0,108,1009,126,47,38,1,33,1,12,2,1,108,1091,152,40,43
0,12,0,6,2,0,108,1078,118,24,48,1,14,653376,1,36,2,6,2,0,108,1051,122,35,37,1,15,0,6,2,0,108,1009,126,47,38
1,13,0,3,2,0,108,955,155,58,40,1,13,653376,1,14,0,6,2,0,108,1078,118,24,48,1,36,2,6,2,0,108,1051,122,35,37
1,14,1,3,2,0,108,971,142,50,41,1,17,653376,1,13,0,3,2,0,108,955,155,58,40,1,14,0,6,2,0,108,1078,118,24,48
0,15,1,5,2,0,108,945,127,34,37,1,27,653376,1,17,1,3,2,0,108,971,142,50,41,1,13,0,3,2,0,108,955,155,58,40
4,16,0,3,2,0,108,918,121,47,38,1,19,653376,1,27,1,5,2,0,108,945,127,34,37,1,17,1,3,2,0,108,971,142,50,41
1,17,4,5,2,1,108,931,129,40,57,1,28,653376,1,19,0,3,2,0,108,918,121,47,38,1,27,1,5,2,0,108,945,127,34,37
1,18,1,7,2,0,106,912,90,23,14,1,13,653376,1,28,4,5,2,1,108,931,129,40,57,1,19,0,3,2,0,108,918,121,47,38
0,19,1,5,2,1,106,811,80,24,30,1,15,653376,1,13,1,7,2,0,106,912,90,23,14,1,28,4,5,2,1,108,931,129,40,57
3,20,0,2,2,1,106,701,92,28,21,1,13,653376,1,15,1,5,2,1,106,811,80,24,30,1,13,1,7,2,0,106,912,90,23,14
1,21,3,1,2,1,106,815,103,14,18,1,10,653376,1,13,0,2,2,1,106,701,92,28,21,1,15,1,5,2,1,106,811,80,24,30
0,22,1,0,2,1,106,761,132,25,39,1,12,653376,1,10,3,1,2,1,106,815,103,14,18,1,13,0,2,2,1,106,701,92,28,21
3,23,0,0,2,1,106,750,108,54,31,1,3,653376,1,12,1,0,2,1,106,761,132,25,39,1,10,3,1,2,1,106,815,103,14,18
1,24,3,2,2,1,107,688,127,45,34,1,13,653376,1,3,0,0,2,1,106,750,108,54,31,1,12,1,0,2,1,106,761,132,25,39
1,25,1,1,2,1,107,615,80,26,34,1,8,653376,1,13,3,2,2,1,107,688,127,45,34,1,3,0,0,2,1,106,750,108,54,31
1,26,1,2,2,1,107,555,106,32,26,1,4,653376,1,8,1,1,2,1,107,615,80,26,34,1,13,3,2,2,1,107,688,127,45,34
1,27,1,0,2,1,107,575,82,31,31,1,8,653376,1,4,1,2,2,1,107,555,106,32,26,1,8,1,1,2,1,107,615,80,26,34
0,28,1,2,2,1,107,626,108,45,59,1,9,653376,1,8,1,0,2,1,107,575,82,31,31,1,4,1,2,2,1,107,555,106,32,26
2,29,0,1,2,1,107,694,77,34,38,1,10,653376,1,9,1,2,2,1,107,626,108,45,59,1,8,1,0,2,1,107,575,82,31,31
2,30,2,1,2,1,107,626,108,37,39,1,7,653376,1,10,0,1,2,1,107,694,77,34,38,1,9,1,2,2,1,107,626,108,45,59
0,31,2,1,2,1,112,688,106,35,38,1,3,653376,1,7,2,1,2,1,107,626,108,37,39,1,10,0,1,2,1,107,694,77,34,38
2,32,0,0,2,1,112,573,99,23,22,1,6,653376,1,3,2,1,2,1,112,688,106,35,38,1,7,2,1,2,1,107,626,108,37,39
1,33,2,1,2,1,112,662,101,16,34,1,10,653376,1,6,0,0,2,1,112,573,99,23,22,1,3,2,1,2,1,112,688,106,35,38
2,34,1,1,2,1,112,650,75,23,42,1,8,653376,1,10,2,1,2,1,112,662,101,16,34,1,6,0,0,2,1,112,573,99,23,22
1,35,2,2,2,1,112,740,126,36,31,1,8,653376,1,8,1,1,2,1,112,650,75,23,42,1,10,2,1,2,1,112,662,101,16,34
9,36,1,4,2,1,110,686,83,41,44,1,11,653376,1,8,2,2,2,1,112,740,126,36,31,1,8,1,1,2,1,112,650,75,23,42
12,37,9,2,2,1,110,698,102,40,46,1,24,653376,1,11,1,4,2,1,110,686,83,41,44,1,8,2,2,2,1,112,740,126,36,31
4,38,12,2,2,1,110,781,125,46,28,1,26,653376,1,24,9,2,2,1,110,698,102,40,46,1,11,1,4,2,1,110,686,83,41,44
2,39,4,4,2,1,110,824,111,43,64,1,23,653376,1,26,12,2,2,1,110,781,125,46,28,1,24,9,2,2,1,110,698,102,40,46
3,40,2,2,2,1,110,928,137,33,28,1,27,653376,1,23,4,4,2,1,110,824,111,43,64,1,26,12,2,2,1,110,781,125,46,28
4,41,3,15,2,1,110,939,120,33,40,1,45,653376,1,27,2,2,2,1,110,928,137,33,28,1,23,4,4,2,1,110,824,111,43,64
2,42,4,10,2,1,106,970,229,50,60,1,58,653376,1,45,3,15,2,1,110,939,120,33,40,1,27,2,2,2,1,110,928,137,33,28
6,43,2,13,2,1,106,1176,193,70,44,1,64,653376,1,58,4,10,2,1,106,970,229,50,60,1,45,3,15,2,1,110,939,120,33,40
5,44,6,31,1,1,106,1224,228,61,56,1,109,653376,1,64,2,13,2,1,106,1176,193,70,44,1,58,4,10,2,1,106,970,229,50,60
4,45,5,42,1,1,106,1289,268,80,84,1,145,653376,1,109,6,31,1,1,106,1224,228,61,56,1,64,2,13,2,1,106,1176,193,70,44
